y,d,s,c,g,e1n,e1r,e2n,e2r,e3n,e3r,e4n,e4r,e5n,e5r,m1n,m1r,m2n,m2r,m3n,m3r,m4n,m4r,m5n,m5r,s1n,s1r,s2n,s2r,s3n,s3r,s4n,s4r,s5n,s5r,sc1n,sc1r,sc2n,sc2r,sc3n,sc3r,sc4n,sc4r,sc5n,sc5r,epn,epr,spn,spr,mpn,mpr,scpn,scpr
1718,00,0000,Foster,Subgroups,3158,37.7,2331,27.8,1774,21.2,937,11.2,185,2.2,3006,37.9,1813,22.8,1906,24,941,11.9,274,3.5,306,24.2,297,23.5,349,27.6,199,15.7,113,8.9,744,29.1,818,32,635,24.8,226,8.8,134,5.2,2896,34.5,661,52.3,3121,39.3,995,38.9
1718,00,0000,Female,Gender,129024,16.5,178896,22.8,202174,25.8,178725,22.8,95325,12.2,154573,21.2,140047,19.2,208362,28.6,141218,19.4,84438,11.6,20917,11.5,31499,17.4,50020,27.6,38319,21.1,40441,22.3,41605,14.7,74807,26.4,87334,30.8,39857,14,40290,14.2,476224,60.7,128780,71.1,434018,59.6,167481,59
1718,00,0000,English Language Learners,Subgroups,75867,35.6,61410,28.8,46485,21.8,23532,11,6003,2.8,68217,32.7,45564,21.8,51999,24.9,29954,14.3,13043,6.2,9358,27,8903,25.7,9257,26.7,4481,12.9,2680,7.7,21329,31.1,22701,33.1,16072,23.4,5154,7.5,3415,5,76020,35.6,16418,47.3,94996,45.5,24641,35.9
1718,00,0000,Economically Disadvantaged,Subgroups,273659,26.5,279082,27,253808,24.6,167560,16.2,58261,5.6,275493,28.3,207696,21.3,269128,27.6,153611,15.8,68278,7,36065,16,46136,20.4,63935,28.3,43362,19.2,36137,16,76130,21,107750,29.7,104528,28.8,41348,11.4,32949,9.1,479629,46.5,143434,63.6,491019,50.4,178825,49.3
1718,00,0000,Black/African American,Race,115586,33.2,100494,28.8,76334,21.9,43257,12.4,12848,3.7,120199,36.5,74867,22.8,81821,24.9,38395,11.7,13745,4.2,15677,20.1,18326,23.4,21918,28,12967,16.6,9298,11.9,33957,27.7,40511,33,31376,25.6,10293,8.4,6598,5.4,132439,38,44183,56.5,133961,40.7,48267,39.3
1718,00,0000,Asian,Race,3137,7,5925,13.2,10015,22.2,13561,30.1,12399,27.5,2641,6.7,3413,8.7,8329,21.1,10466,26.6,14538,36.9,476,4.4,844,7.9,1998,18.6,2445,22.8,4960,46.3,874,5.2,2171,13,4454,26.6,3308,19.7,5945,35.5,35975,79.9,9403,87.7,33333,84.6,13707,81.8
1718,00,0000,American Indian/Alaskan Native,Race,969,21.5,1112,24.7,1172,26,892,19.8,362,8,927,22.4,808,19.6,1191,28.8,768,18.6,438,10.6,179,16,192,17.2,296,26.5,217,19.4,233,20.9,258,15.3,451,26.8,533,31.7,239,14.2,201,12,2426,53.8,746,66.8,2397,58,973,57.8
1718,58,0000,White,Race,1468,9.2,2850,17.8,4160,26,4517,28.2,3018,18.8,1320,8.9,1867,12.6,4159,28.1,3995,27,3474,23.4,182,5.1,388,10.8,826,23.1,877,24.5,1307,36.5,401,6.8,1105,18.6,1829,30.8,1192,20.1,1408,23.7,11695,73,3010,84.1,11628,78.5,4429,74.6
1718,58,0012,White,Race,6,11.3,12,22.6,14,26.4,10,18.9,11,20.8,4,7.8,7,13.7,14,27.5,15,29.4,11,21.6,*,*,*,*,*,*,*,*,*,*,3,15.8,3,15.8,5,26.3,4,21.1,4,21.1,35,66,*,*,40,78.4,13,68.4
1718,58,0021,White,Race,0,0,12,1.2,60,6.2,309,32,586,60.6,0,0,1,0.1,22,2.7,194,23.5,607,73.7,0,0,0,0,7,3.8,16,8.6,162,87.6,0,0,7,1.8,37,9.6,88,22.9,252,65.6,955,98.8,185,100,823,99.9,377,98.2
1718,58,0031,White,Race,53,5.8,116,12.6,203,22,271,29.4,278,30.2,50,5.4,89,9.6,166,17.9,217,23.5,403,43.6,6,1.7,19,5.3,71,19.9,84,23.6,176,49.4,12,3.6,61,18.3,76,22.8,74,22.2,111,33.2,752,81.7,331,93,786,85,261,78.1
1718,58,0051,White,Race,55,9,116,18.9,159,25.9,181,29.5,102,16.6,73,17.2,59,13.9,181,42.6,73,17.2,39,9.2,14,4.8,35,12.1,76,26.2,76,26.2,89,30.7,9,3.3,44,16.2,115,42.3,50,18.4,54,19.9,442,72.1,241,83.1,293,68.9,219,80.5
1718,58,0071,White,Race,10,6,20,12,45,27.1,66,39.8,25,15.1,4,2.4,22,13.3,39,23.6,56,33.9,44,26.7,*,*,*,*,*,*,*,*,*,*,3,6.3,9,18.8,12,25,10,20.8,14,29.2,136,81.9,*,*,139,84.2,36,75
1718,58,0074,White,Race,63,11.1,123,21.7,158,27.8,141,24.8,83,14.6,51,9.5,86,16,202,37.7,117,21.8,80,14.9,14,6.1,27,11.7,48,20.8,57,24.7,85,36.8,19,7.5,61,24,98,38.6,35,13.8,41,16.1,382,67.3,190,82.3,399,74.4,174,68.5
1718,58,0081,White,Race,14,24.1,20,34.5,13,22.4,11,19,0,0,19,31.7,19,31.7,17,28.3,5,8.3,0,0,2,12.5,3,18.8,6,37.5,3,18.8,2,12.5,9,42.9,5,23.8,4,19,2,9.5,1,4.8,24,41.4,11,68.8,22,36.7,7,33.3
1718,58,0083,White,Race,23,5.1,67,15,113,25.2,154,34.4,91,20.3,24,5.4,54,12.1,144,32.1,136,30.4,90,20.1,1,0.7,3,2.1,16,11.3,37,26.2,84,59.6,3,2.1,23,15.9,50,34.5,38,26.2,31,21.4,358,79.9,137,97.2,370,82.6,119,82.1
1718,58,0084,White,Race,19,12.3,21,13.5,37,23.9,50,32.3,28,18.1,13,8.4,17,11,44,28.4,48,31,33,21.3,3,5.6,8,14.8,12,22.2,6,11.1,25,46.3,8,14.3,5,8.9,14,25,16,28.6,13,23.2,115,74.2,43,79.6,125,80.6,43,76.8
1718,58,0085,White,Race,20,11.3,28,15.8,35,19.8,58,32.8,36,20.3,20,15.5,24,18.6,56,43.4,21,16.3,8,6.2,5,6,11,13.3,21,25.3,22,26.5,24,28.9,2,2.6,12,15.6,33,42.9,16,20.8,14,18.2,129,72.9,67,80.7,85,65.9,63,81.8
1718,58,0090,White,Race,30,10,61,20.3,79,26.3,88,29.3,42,14,51,17,63,21,95,31.7,68,22.7,23,7.7,3,4.5,7,10.4,8,11.9,22,32.8,27,40.3,3,3.2,18,19.4,29,31.2,29,31.2,14,15.1,209,69.7,57,85.1,186,62,72,77.4
1718,58,0100,White,Race,11,4.4,41,16.3,75,29.9,89,35.5,35,13.9,21,8.4,40,15.9,74,29.5,74,29.5,42,16.7,*,*,*,*,*,*,*,*,*,*,1,1.3,17,22.4,36,47.4,15,19.7,7,9.2,199,79.3,*,*,190,75.7,58,76.3
1718,58,0101,White,Race,28,18.1,36,23.2,39,25.2,36,23.2,16,10.3,18,11.5,22,14.1,51,32.7,44,28.2,21,13.5,*,*,*,*,*,*,*,*,*,*,7,13.2,10,18.9,17,32.1,10,18.9,9,17,91,58.7,*,*,116,74.4,36,67.9
1718,58,0102,White,Race,27,12.8,42,19.9,59,28,53,25.1,30,14.2,6,2.8,24,11.2,55,25.7,85,39.7,44,20.6,4,4.9,7,8.6,12,14.8,16,19.8,42,51.9,0,0,22,27.2,22,27.2,23,28.4,14,17.3,142,67.3,70,86.4,184,86,59,72.8
1718,58,0103,White,Race,57,11,137,26.4,146,28.2,119,23,59,11.4,66,13.8,102,21.3,159,33.1,119,24.8,34,7.1,6,5.4,17,15.3,39,35.1,23,20.7,26,23.4,20,10.4,61,31.6,61,31.6,27,14,24,12.4,324,62.5,88,79.3,312,65,112,58
1718,58,0106,White,Race,18,10.5,38,22.1,58,33.7,39,22.7,19,11,23,13.4,23,13.4,37,21.5,44,25.6,45,26.2,*,*,*,*,*,*,*,*,*,*,8,14.8,14,25.9,19,35.2,9,16.7,4,7.4,116,67.4,*,*,126,73.3,32,59.3
1718,58,0110,White,Race,16,10.7,36,24.2,46,30.9,27,18.1,24,16.1,11,7.4,29,19.5,46,30.9,46,30.9,17,11.4,0,0,5,10.2,13,26.5,11,22.4,20,40.8,4,7.1,12,21.4,16,28.6,12,21.4,12,21.4,97,65.1,44,89.8,109,73.2,40,71.4
1718,58,0111,White,Race,57,15.1,72,19,100,26.5,93,24.6,56,14.8,37,10,42,11.4,88,23.8,93,25.1,110,29.7,9,10.7,17,20.2,22,26.2,18,21.4,18,21.4,17,13.4,24,18.9,31,24.4,38,29.9,17,13.4,249,65.9,58,69,291,78.6,86,67.7
1718,58,0113,White,Race,13,11,20,16.9,41,34.7,34,28.8,10,8.5,10,8.5,15,12.7,35,29.7,38,32.2,20,16.9,2,7.4,2,7.4,6,22.2,10,37,7,25.9,1,2.4,11,26.2,14,33.3,8,19,8,19,85,72,23,85.2,93,78.8,30,71.4
1718,58,0117,White,Race,19,10.2,42,22.6,63,33.9,44,23.7,18,9.7,13,7.1,39,21.4,59,32.4,45,24.7,26,14.3,5,11.4,4,9.1,17,38.6,11,25,7,15.9,5,10.9,18,39.1,13,28.3,7,15.2,3,6.5,125,67.2,35,79.5,130,71.4,23,50
1718,58,0121,White,Race,11,5.2,36,16.9,70,32.9,66,31,30,14.1,11,5.2,13,6.1,58,27.2,87,40.8,44,20.7,*,*,*,*,*,*,*,*,*,*,1,1.4,21,30,23,32.9,7,10,18,25.7,166,77.9,*,*,189,88.7,48,68.6
1718,58,0131,White,Race,7,3.7,20,10.7,64,34.2,52,27.8,44,23.5,6,3.2,18,9.6,45,24.1,67,35.8,51,27.3,*,*,*,*,*,*,*,*,*,*,1,1.4,10,14.5,20,29,17,24.6,21,30.4,160,85.6,*,*,163,87.2,58,84.1
1718,58,0141,White,Race,49,13.3,73,19.8,92,24.9,103,27.9,52,14.1,16,4.5,52,14.8,113,32.1,108,30.7,63,17.9,13,15.3,14,16.5,25,29.4,25,29.4,8,9.4,13,10.5,34,27.4,34,27.4,25,20.2,18,14.5,247,66.9,58,68.2,284,80.7,77,62.1
1718,58,0171,White,Race,8,3.4,30,12.9,69,29.6,72,30.9,54,23.2,8,3.4,15,6.4,54,23.1,81,34.6,76,32.5,*,*,*,*,*,*,*,*,*,*,1,1.4,8,11.3,21,29.6,20,28.2,21,29.6,195,83.7,*,*,211,90.2,62,87.3
1718,58,0181,White,Race,46,6,133,17.3,157,20.4,255,33.2,178,23.1,55,10.1,46,8.5,211,38.9,117,21.6,113,20.8,17,5.2,46,14,90,27.4,92,28,84,25.5,11,3,40,11,139,38.3,72,19.8,101,27.8,590,76.7,266,80.9,441,81.4,312,86
1718,58,0191,White,Race,14,4.6,25,8.1,85,27.7,113,36.8,70,22.8,16,5.2,30,9.7,79,25.6,101,32.8,82,26.6,*,*,*,*,*,*,*,*,*,*,8,6.8,15,12.7,34,28.8,31,26.3,30,25.4,268,87.3,*,*,262,85.1,95,80.5
1718,58,0201,White,Race,11,20.4,8,14.8,20,37,9,16.7,6,11.1,10,18.5,8,14.8,9,16.7,14,25.9,13,24.1,*,*,*,*,*,*,*,*,*,*,4,22.2,2,11.1,5,27.8,1,5.6,6,33.3,35,64.8,*,*,36,66.7,12,66.7
1718,58,0211,White,Race,13,5.8,37,16.4,73,32.4,66,29.3,36,16,20,8.8,20,8.8,59,26,82,36.1,46,20.3,*,*,*,*,*,*,*,*,*,*,4,4.7,19,22.4,30,35.3,14,16.5,18,21.2,175,77.8,*,*,187,82.4,62,72.9
1718,58,0221,White,Race,77,9.6,157,19.7,218,27.3,240,30.1,106,13.3,44,8.4,44,8.4,199,37.8,157,29.8,82,15.6,10,2.6,28,7.2,104,26.8,113,29.1,133,34.3,12,3.5,62,18.1,146,42.6,58,16.9,65,19,564,70.7,350,90.2,438,83.3,269,78.4
1718,58,0261,White,Race,13,19.7,16,24.2,17,25.8,14,21.2,6,9.1,13,20,9,13.8,16,24.6,21,32.3,6,9.2,*,*,*,*,*,*,*,*,*,*,4,23.5,5,29.4,3,17.6,2,11.8,3,17.6,37,56.1,*,*,43,66.2,8,47.1
1718,58,0271,White,Race,15,6.8,41,18.6,70,31.7,60,27.1,35,15.8,24,10.9,36,16.3,67,30.3,58,26.2,36,16.3,*,*,*,*,*,*,*,*,*,*,8,11.3,17,23.9,22,31,12,16.9,12,16.9,165,74.7,*,*,161,72.9,46,64.8
1718,58,0291,White,Race,11,16.9,16,24.6,15,23.1,17,26.2,6,9.2,10,15.4,8,12.3,19,29.2,17,26.2,11,16.9,*,*,*,*,*,*,*,*,*,*,1,3.8,8,30.8,10,38.5,6,23.1,1,3.8,38,58.5,*,*,47,72.3,17,65.4
1718,58,0293,White,Race,24,38.7,18,29,15,24.2,5,8.1,0,0,36,42.4,30,35.3,10,11.8,9,10.6,0,0,*,*,*,*,*,*,*,*,*,*,10,27,15,40.5,7,18.9,4,10.8,1,2.7,20,32.3,*,*,19,22.4,12,32.4
1718,58,0294,White,Race,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
1718,58,0301,White,Race,16,4.1,49,12.4,116,29.4,129,32.7,84,21.3,11,2.8,16,4.1,95,24.1,151,38.2,122,30.9,*,*,*,*,*,*,*,*,*,*,3,2.5,19,15.6,37,30.3,32,26.2,31,25.4,329,83.5,*,*,368,93.2,100,82
1718,58,0381,White,Race,32,13.9,56,24.3,64,27.8,57,24.8,21,9.1,25,10.8,38,16.4,82,35.3,58,25,29,12.5,*,*,*,*,*,*,*,*,*,*,6,7.1,14,16.5,41,48.2,13,15.3,11,12.9,142,61.7,*,*,169,72.8,65,76.5
1718,58,0451,White,Race,79,15.5,98,19.2,134,26.3,123,24.1,76,14.9,46,9.1,73,14.4,131,25.8,151,29.7,107,21.1,11,8.8,14,11.2,24,19.2,26,20.8,50,40,18,10.4,36,20.8,38,22,41,23.7,40,23.1,333,65.3,100,80,389,76.6,119,68.8
1718,58,0461,White,Race,30,14.9,58,28.7,49,24.3,45,22.3,20,9.9,32,15.8,34,16.8,67,33.2,56,27.7,13,6.4,*,*,*,*,*,*,*,*,*,*,7,9.6,16,21.9,22,30.1,17,23.3,11,15.1,114,56.4,*,*,136,67.3,50,68.5
1718,58,0471,White,Race,14,5.5,38,15,67,26.5,75,29.6,59,23.3,6,2.4,19,7.5,54,21.3,66,26.1,108,42.7,*,*,*,*,*,*,*,*,*,*,1,1.1,7,8,21,23.9,21,23.9,38,43.2,201,79.4,*,*,228,90.1,80,90.9
1718,58,0491,White,Race,23,7.6,55,18.2,88,29,87,28.7,50,16.5,23,7.6,47,15.6,87,28.9,89,29.6,55,18.3,*,*,*,*,*,*,*,*,*,*,14,14.6,23,24,23,24,18,18.8,18,18.8,225,74.3,*,*,231,76.7,59,61.5
1718,58,0501,White,Race,4,30.8,3,23.1,4,30.8,2,15.4,0,0,1,8.3,5,41.7,1,8.3,3,25,2,16.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,46.2,*,*,6,50,*,*
1718,58,1211,White,Race,43,7.1,84,14,174,28.9,188,31.2,113,18.8,41,6.8,59,9.8,144,24,194,32.3,162,27,2,1.7,6,5.2,14,12.1,35,30.2,59,50.9,15,7.5,40,19.9,57,28.4,41,20.4,48,23.9,475,78.9,108,93.1,500,83.3,146,72.6
1718,58,1231,White,Race,15,6.4,60,25.8,77,33,55,23.6,26,11.2,16,6.9,29,12.5,77,33.2,70,30.2,40,17.2,*,*,*,*,*,*,*,*,*,*,6,8.5,19,26.8,24,33.8,13,18.3,9,12.7,158,67.8,*,*,187,80.6,46,64.8
1718,58,1241,White,Race,39,15.9,50,20.4,82,33.5,59,24.1,15,6.1,27,11.1,50,20.5,69,28.3,71,29.1,27,11.1,*,*,*,*,*,*,*,*,*,*,10,11.2,20,22.5,26,29.2,16,18,17,19.1,156,63.7,*,*,167,68.4,59,66.3
1718,58,1251,White,Race,100,13.8,182,25.1,176,24.3,185,25.5,82,11.3,112,20.6,88,16.2,227,41.7,85,15.6,32,5.9,29,9.7,56,18.7,84,28,77,25.7,54,18,27,8,79,23.4,136,40.2,43,12.7,53,15.7,443,61.1,215,71.7,344,63.2,232,68.6
1718,58,1261,White,Race,78,15.9,122,24.8,134,27.2,108,22,50,10.2,62,12.8,88,18.1,123,25.3,109,22.4,104,21.4,9,5.9,27,17.8,42,27.6,27,17.8,47,30.9,36,21.8,38,23,36,21.8,33,20,22,13.3,292,59.3,116,76.3,336,69.1,91,55.2
1718,58,1271,White,Race,17,6.8,51,20.4,82,32.8,70,28,30,12,22,8.8,40,16,63,25.2,67,26.8,58,23.2,*,*,*,*,*,*,*,*,*,*,7,8,13,14.8,29,33,15,17,24,27.3,182,72.8,*,*,188,75.2,68,77.3
1718,58,1282,White,Race,16,5.9,46,17.1,94,34.9,63,23.4,50,18.6,19,7.1,30,11.2,67,24.9,81,30.1,72,26.8,*,*,*,*,*,*,*,*,*,*,10,11.9,14,16.7,22,26.2,18,21.4,20,23.8,207,77,*,*,220,81.8,60,71.4
1718,58,1291,White,Race,88,15,117,20,160,27.4,136,23.2,84,14.4,66,11.4,87,15,176,30.3,130,22.4,122,21,18,12.5,20,13.9,44,30.6,33,22.9,29,20.1,26,12.9,45,22.3,57,28.2,40,19.8,34,16.8,380,65,106,73.6,428,73.7,131,64.9
1718,58,1341,White,Race,25,9.7,67,26.1,78,30.4,63,24.5,24,9.3,21,8.1,36,14,74,28.7,79,30.6,48,18.6,*,*,*,*,*,*,*,*,*,*,6,7.1,14,16.7,22,26.2,26,31,16,19,165,64.2,*,*,201,77.9,64,76.2
1718,58,1391,White,Race,2,1,22,11.3,46,23.6,84,43.1,41,21,6,4,10,6.7,56,37.6,49,32.9,28,18.8,0,0,4,4.5,17,19.1,26,29.2,42,47.2,0,0,4,3.9,29,28.4,21,20.6,48,47.1,171,87.7,85,95.5,133,89.3,98,96.1
1718,58,0000,Total Students,Total,3161,12.6,5138,20.5,6414,25.5,6349,25.3,4056,16.1,2901,12.4,3442,14.7,6575,28.2,5616,24,4822,20.6,396,7.3,705,12.9,1340,24.5,1267,23.2,1754,32.1,890,9.7,1936,21.2,2805,30.7,1660,18.2,1839,20.1,16819,67,4361,79.8,17013,72.8,6304,69
1718,58,0012,Total Students,Total,35,13,68,25.2,85,31.5,63,23.3,19,7,23,8.6,52,19.4,77,28.7,67,25,49,18.3,*,*,*,*,*,*,*,*,*,*,14,16.5,20,23.5,26,30.6,13,15.3,12,14.1,167,61.9,*,*,193,72,51,60
1718,58,0021,Total Students,Total,0,0,15,1,84,5.8,460,31.8,886,61.3,0,0,1,0.1,28,2.3,275,22.4,924,75.2,0,0,0,0,9,3.3,23,8.5,240,88.2,0,0,11,2,61,10.9,130,23.3,357,63.9,1430,99,272,100,1227,99.9,548,98
1718,58,0031,Total Students,Total,79,6.7,156,13.2,263,22.3,340,28.8,343,29,71,6,117,9.9,224,18.9,274,23.1,499,42.1,7,1.6,28,6.4,85,19.4,108,24.7,210,47.9,16,3.9,77,18.6,100,24.2,95,23,125,30.3,946,80.1,403,92,997,84.1,320,77.5
1718,58,0051,Total Students,Total,154,15.4,217,21.7,237,23.7,263,26.4,127,12.7,153,21.7,118,16.8,273,38.8,106,15.1,54,7.7,38,8.2,67,14.4,130,28,116,24.9,114,24.5,20,4.4,94,20.6,196,42.9,75,16.4,72,15.8,627,62.8,360,77.4,433,61.5,343,75.1
1718,58,0071,Total Students,Total,21,7.5,44,15.8,94,33.7,88,31.5,32,11.5,17,6.1,44,15.9,73,26.4,86,31,57,20.6,*,*,*,*,*,*,*,*,*,*,7,8.5,16,19.5,29,35.4,14,17.1,16,19.5,214,76.7,*,*,216,78,59,72
1718,58,0074,Total Students,Total,153,16.1,251,26.4,238,25.1,203,21.4,105,11.1,138,15.6,166,18.8,311,35.2,162,18.3,106,12,21,5.9,58,16.2,91,25.4,86,24,102,28.5,43,10.8,118,29.6,139,34.8,48,12,51,12.8,546,57.5,279,77.9,579,65.6,238,59.6
1718,58,0081,Total Students,Total,51,20.6,79,32,76,30.8,37,15,4,1.6,86,34.4,73,29.2,60,24,25,10,6,2.4,3,6.1,11,22.4,22,44.9,9,18.4,4,8.2,27,32.5,32,38.6,16,19.3,5,6,3,3.6,117,47.4,35,71.4,91,36.4,24,28.9
1718,58,0083,Total Students,Total,55,7.5,123,16.7,203,27.6,225,30.6,130,17.7,46,6.3,108,14.7,241,32.7,218,29.6,123,16.7,1,0.4,8,3.3,28,11.6,67,27.7,138,57,10,4,48,19.4,81,32.7,62,25,47,19,558,75.8,233,96.3,582,79.1,190,76.6
1718,58,0084,Total Students,Total,177,25.3,201,28.7,150,21.4,120,17.1,52,7.4,132,18.9,118,16.9,227,32.6,151,21.7,69,9.9,23,10.7,50,23.3,55,25.6,39,18.1,48,22.3,69,31.2,56,25.3,50,22.6,31,14,15,6.8,322,46,142,66,447,64.1,96,43.4
1718,58,0085,Total Students,Total,110,20.6,135,25.3,117,21.9,120,22.5,52,9.7,145,34.2,77,18.2,143,33.7,46,10.8,13,3.1,32,13.5,45,19,70,29.5,55,23.2,35,14.8,13,6.2,49,23.3,97,46.2,31,14.8,20,9.5,289,54.1,160,67.5,202,47.6,148,70.5
1718,58,0090,Total Students,Total,40,10.3,86,22.2,111,28.6,107,27.6,44,11.3,69,17.8,88,22.7,125,32.2,82,21.1,24,6.2,3,3.8,10,12.7,15,19,23,29.1,28,35.4,8,6.5,23,18.7,43,35,35,28.5,14,11.4,262,67.5,66,83.5,231,59.5,92,74.8
1718,58,0100,Total Students,Total,13,4.1,54,17,102,32.2,107,33.8,41,12.9,24,7.6,56,17.7,94,29.7,97,30.6,46,14.5,*,*,*,*,*,*,*,*,*,*,2,2.2,23,25.8,40,44.9,16,18,8,9,250,78.9,*,*,237,74.8,64,71.9
1718,58,0101,Total Students,Total,69,22,77,24.6,78,24.9,66,21.1,23,7.3,52,16.6,61,19.5,100,31.9,70,22.4,30,9.6,*,*,*,*,*,*,*,*,*,*,16,15.1,26,24.5,32,30.2,16,15.1,16,15.1,167,53.4,*,*,200,63.9,64,60.4
1718,58,0102,Total Students,Total,37,13.6,53,19.4,81,29.7,64,23.4,38,13.9,9,3.3,35,12.8,77,28.1,104,38,49,17.9,5,5,8,8,16,16,22,22,49,49,2,2,27,26.5,28,27.5,30,29.4,15,14.7,183,67,87,87,230,83.9,73,71.6
1718,58,0103,Total Students,Total,91,12.7,193,27,195,27.3,155,21.7,81,11.3,101,15.4,143,21.8,205,31.3,151,23.1,55,8.4,9,5.9,21,13.7,50,32.7,37,24.2,36,23.5,28,10.5,77,28.8,94,35.2,32,12,36,13.5,431,60.3,123,80.4,411,62.7,162,60.7
1718,58,0106,Total Students,Total,36,12.7,73,25.8,88,31.1,57,20.1,29,10.2,41,14.6,38,13.5,73,26,66,23.5,63,22.4,*,*,*,*,*,*,*,*,*,*,13,15.1,23,26.7,28,32.6,15,17.4,7,8.1,174,61.5,*,*,202,71.9,50,58.1
1718,58,0110,Total Students,Total,19,10.9,44,25.3,51,29.3,30,17.2,30,17.2,13,7.5,34,19.7,52,30.1,53,30.6,21,12.1,1,1.8,5,8.8,16,28.1,11,19.3,24,42.1,5,7.8,14,21.9,17,26.6,14,21.9,14,21.9,111,63.8,51,89.5,126,72.8,45,70.3
1718,58,0111,Total Students,Total,126,18.1,158,22.7,168,24.2,157,22.6,86,12.4,89,12.8,97,14,170,24.5,165,23.8,172,24.8,24,12.9,40,21.5,49,26.3,39,21,34,18.3,40,16.4,61,25,64,26.2,52,21.3,27,11.1,411,59.1,122,65.6,507,73.2,143,58.6
