District Name,School Name,Lat,Long,Charter Total Students,Charter Total SWD,cpe,cps,cpm,cpsc,cte,cts,ctm,ctsc,Other Total Students,Other Total SWD,ope,ops,opm,opsc,ote,ots,otm,otsc
DUVAL,DUVAL CHARTER SCHOOL AT MANDARIN,30.19338,-81.57974,904,83,22,10,31,4,340,63,364,83,3940,364,62,48,75,29,1458,925,1209,673
DUVAL,DUVAL CHARTER SCHOOL AT SOUTHSIDE,30.24558,-81.55371,921,110,29,5,36,6,309,60,319,65,3421,447,78,42,106,66,1040,615,952,581
DUVAL,FLORIDA CYBER CHARTER ACADEMY,30.20058,-81.57164,758,61,12,6,10,7,203,85,125,57,0,0,0,0,0,0,0,0,0,0
FLAGLER,IMAGINE SCHOOL AT TOWN CENTER,29.48850,-81.19801,887,113,16,3,20,3,328,57,343,82,6140,935,101,87,131,76,2154,1259,1900,1203
HILLSBOROUGH,FLORIDA CONNECTIONS ACADEMY,28.00302,-82.35748,1433,109,24,8,14,6,442,58,311,89,33650,4672,516,436,608,234,10433,5576,8963,4198
HILLSBOROUGH,LEARNING GATE COMMUNITY SCHOOL,28.10430,-82.44931,794,86,21,9,22,11,395,95,367,127,15484,2236,250,189,301,129,4183,2108,3791,1749
HILLSBOROUGH,SOUTHSHORE CHARTER ACADEMY,27.79479,-82.30263,1160,102,16,6,13,3,463,121,408,141,26607,3450,490,372,594,263,9325,5176,8442,4197
HILLSBOROUGH,SPORTS LEADERSHIP AND MANAGEMENT ACADEMY (TAMPA),28.06835,-82.57124,532,72,2,6,6,0,195,65,186,42,25406,2823,456,360,540,200,10626,5194,8979,4337
INDIAN RIVER,IMAGINE AT SOUTH VERO,27.61184,-80.45216,891,89,21,6,27,10,439,97,425,125,5541,779,120,59,133,60,1956,966,1767,784
INDIAN RIVER,SEBASTIAN CHARTER JUNIOR HIGH SCHOOL,27.78929,-80.48328,266,43,14,8,23,9,179,77,205,61,2856,387,39,38,46,28,851,373,818,402
LAKE,IMAGINE SCHOOLS AT SOUTH LAKE,28.50080,-81.70382,1043,91,24,9,37,7,501,103,534,133,21478,3179,464,343,524,239,7120,3922,6840,3278
LEE,OASIS CHARTER MIDDLE SCHOOL,26.58703,-82.02403,838,48,12,4,17,1,571,214,620,169,44764,5475,674,473,864,321,15407,7451,14905,6305
MANATEE,LINCOLN MEMORIAL ACADEMY,27.52755,-82.56202,468,93,3,1,4,2,115,47,99,34,0,0,0,0,0,0,0,0,0,0
MANATEE,MANATEE SCHOOL FOR THE ARTS,27.51740,-82.55024,2135,159,22,14,38,15,923,377,844,369,10870,1280,162,138,225,80,4192,2195,4166,1777
MANATEE,PALMETTO CHARTER SCHOOL,27.52859,-82.58441,364,58,29,6,38,8,205,40,222,60,8964,1449,105,96,170,69,2160,1308,2154,1017
OKALOOSA,OKALOOSA ACADEMY,30.42639,-86.66575,249,62,1,0,1,2,19,1,11,4,16099,2317,584,376,778,288,6789,3074,7040,3148
ORANGE,RENAISSANCE CHARTER AT CROWN POINT,28.60273,-81.54555,1027,76,13,6,10,0,312,80,260,75,42746,3904,490,363,532,238,14248,7243,11786,6343
ORANGE,RENAISSANCE CHARTER SCHOOL AT CHICKASAW TRAIL,28.55502,-81.27646,1121,136,9,5,10,1,264,71,225,80,30459,3220,391,338,474,235,11077,4987,8724,5069
ORANGE,RENAISSANCE CHARTER SCHOOL AT GOLDENROD,28.47398,-81.29157,1097,99,7,6,9,3,242,76,228,47,32301,3032,377,280,452,226,10624,5130,9251,4802
OSCEOLA,AVANT GARDE ACADEMY,28.33281,-81.40433,544,68,4,3,3,1,109,56,79,41,9669,1022,136,57,152,63,2510,1183,2217,1260
OSCEOLA,BELLALAGO CHARTER ACADEMY,28.18539,-81.43696,1472,128,11,5,10,6,531,125,468,181,6399,911,119,56,118,51,1567,886,1313,858
OSCEOLA,FLORIDA CYBER CHARTER ACADEMY AT OSCEOLA,28.29897,-81.36214,1011,60,7,5,1,0,261,92,150,96,13807,1672,205,166,259,160,4230,2385,3765,2492
OSCEOLA,KISSIMMEE CHARTER ACADEMY,28.33079,-81.37810,780,49,5,5,10,2,273,71,300,74,961,113,15,9,18,6,378,193,336,142
PALM BEACH,FRANKLIN ACADEMY - BOYNTON BEACH,26.55917,-80.11453,1332,108,11,4,25,4,528,102,562,142,8157,1181,185,150,215,90,3023,1507,2661,1465
PALM BEACH,G-STAR SCHOOL OF THE ARTS,26.64658,-80.08595,855,97,22,14,14,20,275,159,158,171,7969,1159,161,139,200,79,2417,1394,2531,1008
PALM BEACH,IMAGINE SCHOOLS CHANCELLOR CAMPUS,26.56199,-80.07581,1035,147,48,15,56,10,415,87,445,134,906,244,65,44,65,27,387,204,386,123
PALM BEACH,PALM BEACH MARITIME ACADEMY,26.64520,-80.05627,877,120,17,8,19,7,251,58,268,80,6034,976,71,92,87,69,1149,725,911,653
PALM BEACH,RENAISSANCE CHARTER SCHOOL AT PALMS WEST,26.68348,-80.24839,567,102,25,11,14,6,217,61,157,46,19093,3043,571,419,778,322,7541,3866,7074,3445
PALM BEACH,RENAISSANCE CHARTER SCHOOL AT SUMMIT,26.66740,-80.07209,1037,101,16,5,22,5,308,73,317,69,1172,256,52,45,77,13,495,237,542,138
PALM BEACH,RENAISSANCE CHARTER SCHOOL AT WEST PALM BEACH,26.71865,-80.09108,994,98,30,9,32,7,392,62,404,88,22180,3252,529,384,610,222,8603,4203,7607,3513
PALM BEACH,SOMERSET ACADEMY CANYONS MIDDLE SCHOOL,26.52886,-80.19596,829,65,25,9,34,5,528,195,585,123,8403,1070,287,201,314,106,4111,2228,3931,1655
PALM BEACH,SOUTH TECH ACADEMY,26.49623,-80.08434,1095,209,17,13,28,21,246,153,254,210,14098,1663,305,226,390,145,5860,2856,5219,2265
PALM BEACH,SOUTH TECH PREPARATORY ACADEMY,26.54771,-80.08388,544,92,12,15,18,1,241,127,237,61,2839,529,56,57,69,24,619,394,522,284
POLK,COMPASS MIDDLE CHARTER SCHOOL,27.87956,-81.84019,123,34,0,0,1,0,20,7,24,3,8556,1140,132,110,152,81,2429,1330,2010,1171
POLK,DISCOVERY ACADEMY OF LAKE ALFRED,28.10830,-81.72908,968,67,12,15,16,1,515,265,464,173,12914,1606,186,137,222,100,2764,1812,2147,1346
POLK,LAKE WALES SENIOR HIGH SCHOOL,27.91638,-81.58034,1571,139,11,9,13,5,394,171,310,236,1868,288,29,27,38,13,440,283,484,181
POLK,MCKEEL ACADEMY OF TECHNOLOGY,28.05035,-81.98386,1522,67,17,8,17,7,869,325,820,506,13828,1950,240,183,282,109,3929,2173,3210,1610
POLK,RIDGEVIEW GLOBAL STUDIES ACADEMY,28.24667,-81.64654,1260,131,33,1,41,5,593,75,593,166,4846,558,56,24,56,27,985,437,765,480
ST. LUCIE,SOMERSET COLLEGE PREPARATORY ACADEMY,27.33688,-80.39801,850,48,15,8,14,6,438,264,338,184,25339,3236,396,251,471,247,8308,3595,7224,3823
SARASOTA,IMAGINE SCHOOL AT NORTH PORT,27.08889,-82.15621,1186,116,21,9,22,6,465,125,465,175,4154,631,91,60,107,41,1616,772,1587,665
SARASOTA,SARASOTA MILITARY ACADEMY,27.34358,-82.53906,1378,200,29,22,41,11,545,271,575,227,6945,1140,170,118,275,87,3033,1319,3068,1260
SARASOTA,SARASOTA SCHOOL OF ARTS/SCIENCES,27.34200,-82.54297,750,98,34,27,47,9,557,225,599,177,2606,284,26,14,32,29,821,320,587,538
SARASOTA,STUDENT LEADERSHIP ACADEMY,27.08144,-82.44187,253,33,9,13,15,3,169,70,204,62,4203,567,110,68,153,55,1755,673,1772,804
SEMINOLE,GALILEO SCHOOL FOR GIFTED LEARNING,28.81371,-81.31921,586,93,28,11,41,10,299,61,310,104,36074,4728,698,414,737,334,14421,6900,12682,5946
SUMTER,VILLAGES CHARTER SCHOOL,28.92301,-82.02009,3215,274,56,11,74,21,1565,387,1514,576,2654,459,87,62,88,38,999,429,866,394
VOLUSIA,IVY HAWN CHARTER SCHOOL OF THE ARTS,28.97640,-81.23065,948,99,22,7,23,8,517,115,498,188,16427,3039,327,226,375,193,5075,2491,4457,2584
VOLUSIA,RICHARD MILBURN ACADEMY,29.21894,-81.04927,294,73,0,1,0,0,4,5,3,4,16945,2694,300,205,367,180,5775,2526,5060,2808
