District,School,prop
01,0031,0.12372634643377002
01,0041,0.14471243042671614
01,0052,0.6385542168674698
01,0071,0.16666666666666666
01,0081,0.8674698795180723
01,0091,0.17422096317280453
01,0101,0.23333333333333334
01,0111,0.07381370826010544
01,0112,0.08964451313755796
01,0121,0.11560693641618497
01,0141,0.15279048490393413
01,0151,0.10911016949152542
01,0161,0.18562874251497005
01,0171,0.09908256880733946
01,0201,0.2033898305084746
01,0221,0.1184573002754821
01,0261,0.12863705972434916
01,0271,0.10313075506445672
01,0281,0.1780821917808219
01,0311,0.14336917562724014
01,0321,0.14264919941775836
01,0331,0.10121457489878542
01,0341,0.22530864197530864
01,0411,0.15151515151515152
01,0421,0.13151927437641722
01,0431,0.09361329833770779
01,0461,0.1297071129707113
01,0481,0.13411078717201166
01,0482,0.12355212355212356
01,0501,0.07643312101910828
01,0502,0.12026515151515152
01,0510,0.10440251572327044
01,0520,0.09615384615384616
01,0531,0.17061611374407584
01,0541,0.1572052401746725
01,0561,0.12303664921465969
01,0571,0.17592592592592593
01,0591,0.11234705228031146
01,0604,0.21568627450980393
01,0950,0.06363636363636363
01,0951,0.06132075471698113
01,0955,0.6851851851851852
01,0961,0.14285714285714285
01,0991,0.13903743315508021
01,1003,0.21212121212121213
01,1012,0.0880503144654088
01,1013,0.12941176470588237
02,0012,0.1003610108303249
02,0013,0.14189189189189189
02,0022,0.16545454545454547
02,0031,0.16384915474642392
02,0032,0.11046025104602511
02,0091,0.1704745166959578
03,0061,0.14881439084219134
03,0071,0.23753280839895013
03,0081,0.172859450726979
03,0091,0.3181818181818182
03,0101,0.1651705565529623
03,0111,0.17272727272727273
03,0131,0.31625835189309576
03,0141,0.22931785195936139
03,0151,0.16847826086956522
03,0161,0.24731182795698925
03,0171,0.20516499282639886
03,0191,0.19207317073170732
03,0201,0.15364238410596026
03,0211,0.21755027422303475
03,0221,0.1848341232227488
03,0241,1.0
03,0251,0.22839506172839505
03,0262,0.17777777777777778
03,0281,1.0
03,0331,0.14858705560619873
03,0341,0.1553784860557769
03,0461,0.24592391304347827
03,0471,0.16139767054908485
03,0491,0.097669256381798
03,0501,0.16417910447761194
03,0511,0.1710914454277286
03,0521,0.19002695417789758
03,0531,0.9787234042553191
03,0541,0.22924901185770752
03,0551,0.13679808841099164
03,0571,0.19072615923009623
03,0581,0.16666666666666666
03,0591,0.21978021978021978
03,0701,0.11328125
03,0711,0.05387931034482758
03,0731,0.09923664122137404
03,0741,0.05194805194805195
03,0751,0.11637931034482758
03,0771,0.17464788732394365
03,0782,0.17676767676767677
03,0801,0.112
03,2701,0.057971014492753624
03,2711,0.10889570552147239
04,0021,0.18424396442185514
04,0051,0.25426944971537
04,0081,0.2574430823117338
04,0131,0.3108108108108108
04,0161,0.2619047619047619
04,0172,0.22488755622188905
04,0181,0.2753623188405797
05,0011,0.13034033309196236
05,0051,0.3084370677731674
05,0052,0.19393939393939394
05,0061,0.1936245572609209
05,0089,1.0
05,0091,0.17829457364341086
05,0101,0.18997912317327767
05,0122,0.1864951768488746
05,0141,0.1766848816029144
05,0151,0.20187793427230047
05,0161,0.14990689013035383
05,0181,0.15028901734104047
05,0191,0.18563922942206654
05,0201,0.2370266479663394
05,0301,0.19198664440734559
05,0302,0.1614123581336696
05,1011,0.14511873350923482
05,1028,1.0
05,1029,1.0
05,1041,0.18305597579425115
05,1051,0.18429003021148035
05,1071,0.21441441441441442
05,1081,0.18162839248434237
05,1091,0.2514705882352941
05,1101,0.176759410801964
05,1121,0.20114213197969544
05,1131,0.2136150234741784
05,1141,0.19722222222222222
05,1151,0.2688356164383562
05,1161,0.13909378292939936
05,1171,0.09411219286045433
05,2011,0.10317084713677237
05,2021,0.18146467919637072
05,2031,0.20046082949308755
05,2041,0.20607028753993611
05,2042,0.08860759493670886
05,2051,0.19027484143763213
05,2061,0.17732558139534885
05,2071,0.17699115044247787
05,2081,0.2234910277324633
05,2111,0.20600858369098712
05,2121,0.2508896797153025
05,2122,0.20888355342136855
05,2131,0.20502092050209206
05,2151,0.25
05,2161,0.21649484536082475
05,2171,0.19797687861271676
05,2191,0.21428571428571427
05,2211,0.15005861664712777
05,2212,0.18725617685305593
05,2221,0.24146341463414633
05,2311,0.14426229508196722
05,3011,0.17720763723150357
05,3021,0.18273260687342832
05,3031,0.1671195652173913
05,3041,0.18818380743982493
05,3061,0.23180592991913745
05,3071,0.23880597014925373
05,3091,0.20652173913043478
05,3101,0.180028129395218
05,3121,0.1824925816023739
05,3131,0.19195046439628483
05,3141,0.02098635886673662
05,3151,0.15625
05,4011,0.1332033788174139
05,4021,0.023206751054852322
05,4031,0.22795698924731184
05,4041,0.21333333333333335
05,4051,0.2462686567164179
05,4071,0.11857707509881422
05,4111,0.17424242424242425
05,4121,0.2289156626506024
05,5011,0.09378084896347483
05,5012,0.17894736842105263
05,5021,0.09043927648578812
05,5031,0.19210526315789472
05,6011,0.10625470987189148
05,6012,0.11477411477411477
05,6013,0.19517102615694165
05,6051,0.18691588785046728
05,6061,0.13695652173913042
05,6071,0.18984962406015038
05,6081,0.16891891891891891
05,6082,0.1541501976284585
05,6101,0.19017094017094016
05,6141,0.2106508875739645
05,6501,0.1657754010695187
05,6507,0.1216309606081548
05,6508,0.15009041591320071
05,6509,0.14328358208955225
05,6511,0.0967741935483871
05,6515,0.13926940639269406
05,6523,0.18487394957983194
05,6540,0.0777988614800759
05,6541,0.15555555555555556
05,6543,0.11627906976744186
05,6546,0.17094017094017094
