District Name,School Name,Lat,Long,Charter Count,Other Count,Charter Total,Other Total
BROWARD,PARAGON ACADEMY OF TECHNOLOGY,26.01529,-80.16461,26,138,141,533
BROWARD,PEMBROKE PINES CHARTER ELEMENTARY SCHOOL,25.99438,-80.28958,192,306,1919,1797
BROWARD,RENAISSANCE CHARTER MIDDLE SCHOOL AT PINES,26.00914,-80.28640,51,262,453,1258
BROWARD,RENAISSANCE CHARTER SCHOOL AT COOPER CITY,26.03365,-80.28059,70,763,1199,5822
BROWARD,RENAISSANCE CHARTER SCHOOL AT CORAL SPRINGS,26.27227,-80.20748,103,1236,1509,8824
BROWARD,RENAISSANCE CHARTER SCHOOL AT PLANTATION,26.13915,-80.23791,72,963,864,5924
BROWARD,RENAISSANCE CHARTER SCHOOL AT UNIVERSITY,26.22656,-80.25417,80,622,1427,4577
BROWARD,SOMERSET ACADEMY CHARTER HIGH SCHOOL MIRAMAR CAMPUS,25.99269,-80.26798,18,796,285,4776
BROWARD,SOMERSET ACADEMY DAVIE CHARTER SCHOOL,26.07516,-80.23171,13,1325,150,10487
BROWARD,SOMERSET ACADEMY EAST PREPARATORY,25.99257,-80.20802,0,1266,237,7385
BROWARD,SOMERSET ACADEMY ELEMENTARY SOUTH CAMPUS,26.00610,-80.41013,10,139,271,813
BROWARD,SOMERSET ACADEMY KEY CHARTER HIGH SCHOOL,26.30594,-80.09714,30,790,227,5420
BROWARD,SOMERSET ACADEMY MIDDLE (MIRAMAR CAMPUS),25.96058,-80.31312,28,121,417,741
BROWARD,SOMERSET ACADEMY POMPANO (K-5),26.27123,-80.13597,12,538,138,3178
BROWARD,SOMERSET ACADEMY RIVERSIDE,26.25849,-80.23551,0,293,133,1504
BROWARD,SOMERSET ACADEMY VILLAGE CHARTER MIDDLE SCHOOL,26.16316,-80.14822,18,123,151,707
BROWARD,SOMERSET ARTS CONSERVATORY,26.01506,-80.42647,0,305,164,2682
BROWARD,SOMERSET PINES ACADEMY,26.27271,-80.11000,32,455,427,2776
BROWARD,SOMERSET PREPARATORY ACADEMY CHARTER HIGH AT NORTH LAUDERDALE,26.21910,-80.22095,18,516,260,2734
BROWARD,SOUTH BROWARD MONTESSORI CHARTER SCHOOL,25.99106,-80.15425,0,824,150,8349
BROWARD,SUNED HIGH SCHOOL OF NORTH BROWARD,26.24269,-80.19466,70,609,311,4412
BROWARD,SUNFIRE HIGH SCHOOL,26.16505,-80.17447,46,206,367,1552
BROWARD,SUNRISE HIGH SCHOOL,26.13617,-80.14871,60,913,423,6914
BROWARD,THE BEN GAMLA PREPARATORY ACADEMY,26.00944,-80.16134,40,104,492,690
BROWARD,WEST BROWARD ACADEMY,26.24457,-80.19707,39,397,549,2234
CHARLOTTE,BABCOCK NEIGHBORHOOD SCHOOL,26.92030,-82.07774,24,1089,340,3755
CHARLOTTE,FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,26.91776,-82.01650,11,927,372,5803
CITRUS,ACADEMY OF ENVIRONMENTAL SCIENCE,28.90245,-82.64602,0,1935,123,13962
CLAY,CLAY CHARTER ACADEMY,30.12307,-81.86014,77,4638,578,24169
CLAY,ST JOHNS CLASSICAL ACADEMY,30.10103,-81.72633,74,3720,592,20785
COLLIER,BRIDGEPREP ACADEMY COLLIER,26.17211,-81.72011,11,978,115,7557
COLLIER,COLLIER CHARTER ACADEMY,26.27615,-81.62443,48,1395,605,10252
COLLIER,GULF COAST CHARTER ACADEMY SOUTH,26.15442,-81.76665,57,824,637,6197
COLLIER,IMMOKALEE COMMUNITY SCHOOL,26.41897,-81.42052,35,1197,241,7793
COLLIER,MARCO ISLAND ACADEMY,25.93394,-81.67846,25,26,224,176
COLLIER,MARCO ISLAND CHARTER MIDDLE,25.94070,-81.71030,55,334,377,2086
COLLIER,MASON CLASSICAL ACADEMY,26.16216,-81.76900,46,968,898,7216
COLUMBIA,BELMONT ACADEMY,30.07364,-82.67747,33,2513,493,16198
MIAMI-DADE,ACADEMIR CHARTER SCHOOL MIDDLE,25.71333,-80.41269,21,205,361,1476
MIAMI-DADE,ACADEMIR CHARTER SCHOOL PREPARATORY,25.58650,-80.39703,54,610,850,4663
MIAMI-DADE,ACADEMIR CHARTER SCHOOL WEST,25.74291,-80.43627,16,94,619,1564
MIAMI-DADE,ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL,25.81217,-80.27515,34,124,656,832
MIAMI-DADE,ADVANTAGE ACADEMY OF MATH AND SCIENCE AT WATERSTONE,25.48520,-80.41967,0,119,182,1067
MIAMI-DADE,ALPHA CHARTER OF EXCELLENCE,25.76975,-80.21502,10,204,318,2407
MIAMI-DADE,ARCHIMEDEAN ACADEMY,25.70155,-80.39495,21,332,633,2725
MIAMI-DADE,ARTS ACADEMY OF EXCELLENCE,25.90195,-80.25142,0,30,48,391
MIAMI-DADE,ASPIRA ARTS DECO CHARTER,25.79493,-80.19431,48,15,463,236
MIAMI-DADE,ASPIRA LEADERSHIP AND COLLEGE PREPARATORY ACADEMY,25.49888,-80.40572,23,301,354,2561
MIAMI-DADE,ASPIRA RAUL ARNALDO MARTINEZ CHARTER SCHOOL,25.89752,-80.19445,22,727,400,6746
MIAMI-DADE,AVENTURA CITY OF EXCELLENCE SCHOOL,25.94996,-80.13636,55,113,1025,2097
MIAMI-DADE,BEN GAMLA CHARTER SCHOOL,25.66613,-80.37550,10,568,251,5880
MIAMI-DADE,BRIDGEPREP ACADEMY INTERAMERICAN CAMPUS,25.76655,-80.23607,0,685,158,4501
MIAMI-DADE,BRIDGEPREP ACADEMY OF GREATER MIAMI,25.79497,-80.19197,15,34,458,859
MIAMI-DADE,BRIDGEPREP ACADEMY OF NORTH MIAMI BEACH,25.94988,-80.15616,11,273,505,3390
MIAMI-DADE,BRIDGEPREP ACADEMY OF VILLAGE GREEN,25.65541,-80.41040,34,709,704,6075
MIAMI-DADE,BRIDGEPREP ACADEMY SOUTH,25.71468,-80.36763,27,709,637,1335
MIAMI-DADE,C. G. BETHEL HIGH SCHOOL,25.92462,-80.16620,32,815,421,8779
MIAMI-DADE,CITY OF HIALEAH EDUCATION ACADEMY,25.89129,-80.33579,40,245,933,2918
MIAMI-DADE,CORAL REEF MONTESSORI ACADEMY CHARTER,25.56762,-80.36597,48,1062,511,4559
MIAMI-DADE,DOCTORS CHARTER SCHOOL OF MIAMI SHORES,25.87878,-80.20558,22,397,585,4688
MIAMI-DADE,DORAL ACADEMY CHARTER MIDDLE SCHOOL,25.79826,-80.37672,45,0,1465,124
MIAMI-DADE,DORAL INTERNATIONAL ACADEMY OF MATH AND SCIENCE,25.83481,-80.36637,32,471,886,5308
MIAMI-DADE,DOWNTOWN MIAMI CHARTER SCHOOL,25.77732,-80.19925,34,48,618,890
MIAMI-DADE,EVERGLADES PREPARATORY ACADEMY,25.46969,-80.45422,29,393,480,3020
MIAMI-DADE,EXCELSIOR CHARTER ACADEMY,25.94001,-80.23780,19,752,474,5258
MIAMI-DADE,EXCELSIOR LANGUAGE ACADEMY OF HIALEAH,25.83134,-80.27422,13,247,210,2668
MIAMI-DADE,GREEN SPRINGS HIGH SCHOOL,25.77936,-80.25271,63,554,529,3103
MIAMI-DADE,HIGHLY INQUISITIVE AND VERSATILE EDUCATION (HIVE) PREPARATORY SCHOOL,25.92916,-80.29950,41,487,730,5525
MIAMI-DADE,IMATER ACADEMY,25.83926,-80.29412,42,148,670,1468
MIAMI-DADE,IMATER ACADEMY MIDDLE SCHOOL,25.84031,-80.29710,32,259,840,1762
MIAMI-DADE,IMATER PREPARATORY ACADEMY HIGH SCHOOL,25.84026,-80.29519,29,442,922,3223
MIAMI-DADE,INTERNATIONAL STUDIES CHARTER HIGH SCHOOL,25.76510,-80.23657,0,375,401,2987
MIAMI-DADE,ISAAC: INTEGRATED SCIENCE AND ASIAN CULTURE ACADEMY,25.82140,-80.28638,0,89,216,399
MIAMI-DADE,LATIN BUILDERS ASSOCIATION CONSTRUCTION AND BUSINESS MANAGEMENT ACADEMY,25.89117,-80.23221,0,221,135,1786
MIAMI-DADE,LINCOLN-MARTI CHARTER SCHOOL HIALEAH CAMPUS,25.89820,-80.35502,16,736,297,7433
MIAMI-DADE,LINCOLN-MARTI SCHOOLS INTERNATIONAL CAMPUS,25.46213,-80.47377,0,429,320,2050
MIAMI-DADE,MATER ACADEMY,25.86224,-80.32354,45,95,1171,1619
MIAMI-DADE,MATER ACADEMY AT MOUNT SINAI,25.81316,-80.14012,0,519,152,5868
MIAMI-DADE,MATER ACADEMY BAY ELEMENTARY,25.56138,-80.32912,16,438,649,3767
MIAMI-DADE,MATER ACADEMY CHARTER HIGH,25.86841,-80.32559,45,650,1687,4166
MIAMI-DADE,MATER ACADEMY EAST CHARTER,25.76980,-80.20229,22,132,487,2822
MIAMI-DADE,MATER ACADEMY EAST CHARTER HIGH SCHOOL,25.77237,-80.21118,0,12,204,399
MIAMI-DADE,MATER ACADEMY LAKES HIGH SCHOOL,25.93099,-80.34478,27,96,1280,1040
MIAMI-DADE,MATER ACADEMY MIAMI BEACH,25.87131,-80.12339,16,187,563,2103
MIAMI-DADE,MATER ACADEMY OF INTERNATIONAL STUDIES,25.80647,-80.20952,17,817,526,5368
MIAMI-DADE,MATER BRICKELL PREPARATORY ACADEMY,25.73828,-80.24565,0,217,189,1226
MIAMI-DADE,MATER GARDENS ACADEMY,25.93550,-80.34908,16,104,607,668
MIAMI-DADE,MATER INTERNATIONAL ACADEMY,25.80755,-80.23966,0,742,171,5352
MIAMI-DADE,MIAMI ARTS CHARTER,25.79958,-80.19692,68,85,1609,1129
MIAMI-DADE,MIAMI CHILDREN'S MUSEUM CHARTER SCHOOL,25.78471,-80.17641,13,60,292,2052
MIAMI-DADE,MIAMI COMMUNITY CHARTER SCHOOL,25.44640,-80.49287,32,148,529,1593
MIAMI-DADE,NORTH GARDENS HIGH SCHOOL,25.93837,-80.27649,36,471,307,3259
MIAMI-DADE,NORTH PARK HIGH SCHOOL,25.89647,-80.25537,43,417,400,2049
MIAMI-DADE,PALM GLADES PREPARATORY ACADEMY,25.55717,-80.37208,37,119,356,994
MIAMI-DADE,PHOENIX ACADEMY OF EXCELLENCE NORTH,25.89623,-80.23912,0,102,30,1500
MIAMI-DADE,PINECREST ACADEMY (NORTH CAMPUS),25.76988,-80.36153,14,1281,494,9457
MIAMI-DADE,PINECREST ACADEMY (SOUTH CAMPUS),25.69107,-80.43711,27,1229,751,8013
MIAMI-DADE,PINECREST ACADEMY CHARTER MIDDLE SCHOOL,25.72879,-80.43677,17,782,514,7054
MIAMI-DADE,PINECREST COVE ACADEMY,25.73083,-80.36740,17,700,947,4521
MIAMI-DADE,PINECREST PREPARATORY ACADEMY,25.72953,-80.42629,15,1039,585,6878
MIAMI-DADE,RENAISSANCE MIDDLE CHARTER SCHOOL,25.80380,-80.33221,33,145,450,1441
MIAMI-DADE,SOMERSET ACADEMY (SILVER PALMS),25.55126,-80.37787,52,68,1766,347
MIAMI-DADE,SOMERSET ACADEMY AT SILVER PALMS,25.53550,-80.40777,0,218,236,1352
MIAMI-DADE,SOMERSET ACADEMY BAY,25.68067,-80.35233,10,1101,276,8890
MIAMI-DADE,SOMERSET ACADEMY CHARTER,25.59542,-80.40844,32,169,699,1964
MIAMI-DADE,SOMERSET ACADEMY CHARTER ELEMENTARY SCHOOL (SOUTH HOMESTEAD),25.46734,-80.47506,54,195,536,852
MIAMI-DADE,SOMERSET ACADEMY CHARTER HIGH SCHOOL,25.53726,-80.39305,28,145,548,1410
