District,School,School Name,prop,funds
04,0131,LAWTEY ELEMENTARY SCHOOL,0.3108108108108108,10427
04,0161,BROOKER ELEMENTARY SCHOOL,0.2619047619047619,10308
04,0172,BRADFORD MIDDLE SCHOOL,0.22488755622188905,6673
04,0181,HAMPTON ELEMENTARY SCHOOL,0.2753623188405797,8545
05,0011,TITUSVILLE HIGH SCHOOL,0.13034033309196236,7932
05,0051,OAK PARK ELEMENTARY SCHOOL,0.3084370677731674,9148
05,0052,JAMES MADISON MIDDLE SCHOOL,0.19393939393939394,9148
05,0061,APOLLO ELEMENTARY SCHOOL,0.1936245572609209,7650
05,0091,COQUINA ELEMENTARY SCHOOL,0.17829457364341086,8806
05,0101,MIMS ELEMENTARY SCHOOL,0.18997912317327767,10593
05,0122,SOUTH LAKE ELEMENTARY,0.1864951768488746
05,0141,ANDREW JACKSON MIDDLE SCHOOL,0.1766848816029144,7725
05,0151,IMPERIAL ESTATES ELEMENTARY SCHOOL,0.20187793427230047,8196
05,0161,ASTRONAUT HIGH SCHOOL,0.14990689013035383,8451
05,0181,PINEWOOD ELEMENTARY SCHOOL,0.15028901734104047,8422
05,0191,CHALLENGER 7 ELEMENTARY SCHOOL,0.18563922942206654,8314
05,0201,ATLANTIS ELEMENTARY SCHOOL,0.2370266479663394,8180
05,0301,ENTERPRISE ELEMENTARY SCHOOL,0.19198664440734559,8549
05,0302,SPACE COAST JUNIOR/SENIOR HIGH SCHOOL,0.1614123581336696,7115
05,1011,ROCKLEDGE SENIOR HIGH SCHOOL,0.14511873350923482,7080
05,1041,CAMBRIDGE ELEMENTARY MAGNET SCHOOL,0.18305597579425115,8567
05,1051,ENDEAVOUR ELEMENTARY SCHOOL,0.18429003021148035,9757
05,1071,GOLFVIEW ELEMENTARY MAGNET SCHOOL,0.21441441441441442,9429
05,1081,RONALD MCNAIR MAGNET MIDDLE SCHOOL,0.18162839248434237,10071
05,1091,FAIRGLEN ELEMENTARY SCHOOL,0.2514705882352941,8797
05,1101,JOHN F. KENNEDY MIDDLE SCHOOL,0.176759410801964,7404
05,1121,COCOA HIGH SCHOOL,0.20114213197969544,8410
05,1131,SATURN ELEMENTARY SCHOOL,0.2136150234741784,8599
05,1141,HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL,0.19722222222222222,7194
05,1151,RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL,0.2688356164383562,9239
05,1161,MANATEE ELEMENTARY SCHOOL,0.13909378292939936,6576
05,1171,VIERA HIGH SCHOOL,0.09411219286045433,6830
05,2011,MELBOURNE SENIOR HIGH SCHOOL,0.10317084713677237,7277
05,2021,PALM BAY MAGNET SENIOR HIGH SCHOOL,0.18146467919637072,8464
05,2031,MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL,0.20046082949308755,7067
05,2041,MEADOWLANE PRIMARY ELEMENTARY SCHOOL,0.20607028753993611,8265
05,2042,W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE,0.08860759493670886,7236
05,2051,UNIVERSITY PARK ELEMENTARY SCHOOL,0.19027484143763213,12091
05,2061,PORT MALABAR ELEMENTARY SCHOOL,0.17732558139534885,8443
05,2071,STONE MAGNET MIDDLE SCHOOL,0.17699115044247787,7658
05,2081,PALM BAY ELEMENTARY SCHOOL,0.2234910277324633,10737
05,2111,LOCKMAR ELEMENTARY SCHOOL,0.20600858369098712,8436
05,2121,"JOHN F. TURNER, SENIOR ELEMENTARY  SCHOOL",0.2508896797153025,9457
05,2122,SOUTHWEST MIDDLE SCHOOL,0.20888355342136855,7589
05,2131,COLUMBIA ELEMENTARY SCHOOL,0.20502092050209206,8760
05,2151,DISCOVERY ELEMENTARY SCHOOL,0.25,9767
05,2161,CHRISTA MCAULIFFE ELEMENTARY SCHOOL,0.21649484536082475,8204
05,2171,RIVIERA ELEMENTARY SCHOOL,0.19797687861271676,8521
05,2191,JUPITER ELEMENTARY SCHOOL,0.21428571428571427,8708
05,2211,BAYSIDE HIGH SCHOOL,0.15005861664712777,7078
05,2212,WESTSIDE ELEMENTARY SCHOOL,0.18725617685305593,7639
05,2221,SUNRISE ELEMENTARY SCHOOL,0.24146341463414633,8274
05,2311,HERITAGE HIGH SCHOOL,0.14426229508196722,7064
05,3011,EAU GALLIE HIGH SCHOOL,0.17720763723150357,8292
05,3021,CENTRAL MIDDLE SCHOOL,0.18273260687342832,6680
05,3031,LYNDON B. JOHNSON MIDDLE SCHOOL,0.1671195652173913,7435
05,3041,SHERWOOD ELEMENTARY SCHOOL,0.18818380743982493,9505
05,3061,HARBOR CITY ELEMENTARY SCHOOL,0.23180592991913745,10615
05,3071,SABAL ELEMENTARY SCHOOL,0.23880597014925373,8911
05,3091,CROTON ELEMENTARY SCHOOL,0.20652173913043478,8363
05,3101,ROY ALLEN ELEMENTARY SCHOOL,0.180028129395218,8098
05,3121,SUNTREE ELEMENTARY SCHOOL,0.1824925816023739,7801
05,3131,LONGLEAF ELEMENTARY SCHOOL,0.19195046439628483,8600
05,3141,WEST SHORE JUNIOR/SENIOR HIGH SCHOOL,0.02098635886673662,7877
05,3151,QUEST ELEMENTARY SCHOOL,0.15625,6664
05,4011,MERRITT ISLAND HIGH SCHOOL,0.1332033788174139,7371
05,4021,EDGEWOOD JR/SR HIGH SCHOOL,0.023206751054852322,7784
05,4031,MILA ELEMENTARY SCHOOL,0.22795698924731184,10721
05,4041,TROPICAL ELEMENTARY SCHOOL,0.21333333333333335,7263
05,4051,AUDUBON ELEMENTARY SCHOOL,0.2462686567164179,8768
05,4071,ROBERT L. STEVENSON ELEMENTARY SCHOOL,0.11857707509881422,6600
05,4111,THOMAS JEFFERSON MIDDLE SCHOOL,0.17424242424242425,7519
05,4121,LEWIS CARROLL ELEMENTARY SCHOOL,0.2289156626506024,7804
05,5011,COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL,0.09378084896347483,8610
05,5012,THEODORE ROOSEVELT ELEMENTARY  SCHOOL,0.17894736842105263,8937
