District Name,School Name,Lat,Long,Total Students,Total SWD,e,s,m,sc,te,ts,tm,tsc
MANATEE,PALMETTO CHARTER SCHOOL,27.52859,-82.58441,364,58,29,6,38,8,205,40,222,60
OKALOOSA,OKALOOSA ACADEMY,30.42639,-86.66575,249,62,1,0,1,2,19,1,11,4
ORANGE,RENAISSANCE CHARTER AT CROWN POINT,28.60273,-81.54555,1027,76,13,6,10,0,312,80,260,75
ORANGE,RENAISSANCE CHARTER SCHOOL AT CHICKASAW TRAIL,28.55502,-81.27646,1121,136,9,5,10,1,264,71,225,80
ORANGE,RENAISSANCE CHARTER SCHOOL AT GOLDENROD,28.47398,-81.29157,1097,99,7,6,9,3,242,76,228,47
OSCEOLA,AVANT GARDE ACADEMY,28.33281,-81.40433,544,68,4,3,3,1,109,56,79,41
OSCEOLA,BELLALAGO CHARTER ACADEMY,28.18539,-81.43696,1472,128,11,5,10,6,531,125,468,181
OSCEOLA,FLORIDA CYBER CHARTER ACADEMY AT OSCEOLA,28.29897,-81.36214,1011,60,7,5,1,0,261,92,150,96
OSCEOLA,KISSIMMEE CHARTER ACADEMY,28.33079,-81.37810,780,49,5,5,10,2,273,71,300,74
PALM BEACH,FRANKLIN ACADEMY - BOYNTON BEACH,26.55917,-80.11453,1332,108,11,4,25,4,528,102,562,142
PALM BEACH,G-STAR SCHOOL OF THE ARTS,26.64658,-80.08595,855,97,22,14,14,20,275,159,158,171
PALM BEACH,IMAGINE SCHOOLS CHANCELLOR CAMPUS,26.56199,-80.07581,1035,147,48,15,56,10,415,87,445,134
PALM BEACH,PALM BEACH MARITIME ACADEMY,26.64520,-80.05627,877,120,17,8,19,7,251,58,268,80
PALM BEACH,RENAISSANCE CHARTER SCHOOL AT PALMS WEST,26.68348,-80.24839,567,102,25,11,14,6,217,61,157,46
PALM BEACH,RENAISSANCE CHARTER SCHOOL AT SUMMIT,26.66740,-80.07209,1037,101,16,5,22,5,308,73,317,69
PALM BEACH,RENAISSANCE CHARTER SCHOOL AT WEST PALM BEACH,26.71865,-80.09108,994,98,30,9,32,7,392,62,404,88
PALM BEACH,SOMERSET ACADEMY CANYONS MIDDLE SCHOOL,26.52886,-80.19596,829,65,25,9,34,5,528,195,585,123
PALM BEACH,SOUTH TECH ACADEMY,26.49623,-80.08434,1095,209,17,13,28,21,246,153,254,210
PALM BEACH,SOUTH TECH PREPARATORY ACADEMY,26.54771,-80.08388,544,92,12,15,18,1,241,127,237,61
POLK,COMPASS MIDDLE CHARTER SCHOOL,27.87956,-81.84019,123,34,0,0,1,0,20,7,24,3
POLK,DISCOVERY ACADEMY OF LAKE ALFRED,28.10830,-81.72908,968,67,12,15,16,1,515,265,464,173
POLK,LAKE WALES SENIOR HIGH SCHOOL,27.91638,-81.58034,1571,139,11,9,13,5,394,171,310,236
POLK,MCKEEL ACADEMY OF TECHNOLOGY,28.05035,-81.98386,1522,67,17,8,17,7,869,325,820,506
POLK,RIDGEVIEW GLOBAL STUDIES ACADEMY,28.24667,-81.64654,1260,131,33,1,41,5,593,75,593,166
ST. LUCIE,SOMERSET COLLEGE PREPARATORY ACADEMY,27.33688,-80.39801,850,48,15,8,14,6,438,264,338,184
SARASOTA,IMAGINE SCHOOL AT NORTH PORT,27.08889,-82.15621,1186,116,21,9,22,6,465,125,465,175
SARASOTA,SARASOTA MILITARY ACADEMY,27.34358,-82.53906,1378,200,29,22,41,11,545,271,575,227
SARASOTA,SARASOTA SCHOOL OF ARTS/SCIENCES,27.34200,-82.54297,750,98,34,27,47,9,557,225,599,177
SARASOTA,STUDENT LEADERSHIP ACADEMY,27.08144,-82.44187,253,33,9,13,15,3,169,70,204,62
SEMINOLE,GALILEO SCHOOL FOR GIFTED LEARNING,28.81371,-81.31921,586,93,28,11,41,10,299,61,310,104
SUMTER,VILLAGES CHARTER SCHOOL,28.92301,-82.02009,3215,274,56,11,74,21,1565,387,1514,576
VOLUSIA,IVY HAWN CHARTER SCHOOL OF THE ARTS,28.97640,-81.23065,948,99,22,7,23,8,517,115,498,188
VOLUSIA,RICHARD MILBURN ACADEMY,29.21894,-81.04927,294,73,0,1,0,0,4,5,3,4
