District Name,School Name,Lat,Long,Total Students,Total SWD,e,s,m,sc,te,ts,tm,tsc
HENDRY,LABELLE MIDDLE SCHOOL,26.75160,-81.36894,823,131,29,12,39,8,359,171,433,104
HERNANDO,CENTRAL HIGH SCHOOL,28.56316,-82.49641,1269,193,13,9,17,20,204,183,209,172
HERNANDO,CHALLENGER K-8 SCHOOL OF SCIENCE AND MATH,28.49552,-82.50199,1433,113,42,9,47,10,940,212,999,317
HERNANDO,D. S. PARROTT MIDDLE SCHOOL,28.59073,-82.41321,670,103,16,5,16,2,270,119,316,90
HERNANDO,EXPLORER K-8,28.49577,-82.55360,1695,323,30,12,38,7,486,132,503,178
HERNANDO,FOX CHAPEL MIDDLE SCHOOL,28.51067,-82.56481,768,94,15,18,15,5,273,171,284,86
HERNANDO,FRANK W. SPRINGSTEAD HIGH SCHOOL,28.48133,-82.54400,1721,168,13,22,19,11,447,268,342,279
HERNANDO,HERNANDO HIGH SCHOOL,28.56470,-82.38060,1162,134,13,8,15,5,201,140,174,139
HERNANDO,NATURE COAST TECHNICAL HIGH,28.48832,-82.46550,1440,130,8,7,15,7,426,227,416,303
HERNANDO,POWELL MIDDLE SCHOOL,28.50561,-82.49061,1014,104,16,20,25,8,533,285,565,170
HERNANDO,WEEKI WACHEE HIGH SCHOOL,28.60134,-82.54940,1277,143,20,12,20,8,241,181,259,185
HERNANDO,WEST HERNANDO MIDDLE SCHOOL,28.56278,-82.49996,686,130,17,17,27,9,272,157,342,105
HERNANDO,WINDING WATERS K-8,28.60191,-82.55092,1381,173,23,10,34,16,462,118,516,145
HIGHLANDS,AVON PARK HIGH SCHOOL,27.59401,-81.48846,1085,170,10,27,13,5,196,153,150,112
HIGHLANDS,AVON PARK MIDDLE SCHOOL,27.59214,-81.50087,632,102,21,6,24,6,207,85,230,74
HIGHLANDS,HILL-GUSTAT MIDDLE SCHOOL,27.51604,-81.51456,717,103,23,13,28,9,357,149,392,115
HIGHLANDS,LAKE PLACID HIGH SCHOOL,27.29372,-81.37254,807,85,10,8,5,6,165,129,81,147
