District Name,School Name,Lat,Long,Total Students,Total SWD,e,s,m,sc,te,ts,tm,tsc
LEON,GRIFFIN MIDDLE SCHOOL,30.45710,-84.29685,636,114,15,7,16,7,159,95,148,40
LEON,LAWTON CHILES HIGH SCHOOL,30.57236,-84.21073,2095,145,26,20,34,18,819,220,498,402
LEON,LEON HIGH SCHOOL,30.44601,-84.27390,2047,156,27,9,17,9,677,348,372,220
LEON,LINCOLN HIGH SCHOOL,30.43590,-84.21245,2026,201,26,25,18,10,596,379,370,260
LEON,R. FRANK NIMS MIDDLE SCHOOL,30.41249,-84.29511,503,85,16,2,28,8,111,85,160,35
LEON,RAA MIDDLE SCHOOL,30.46248,-84.28769,875,137,32,10,36,4,427,173,441,133
LEON,SAIL,30.43549,-84.31696,377,71,10,8,9,7,101,73,67,57
LEON,SUCCESS ACADEMY AT GHAZVINI LEARNING CENTER,30.49265,-84.33901,220,64,0,0,1,0,2,4,4,4
LEON,SWIFT CREEK MIDDLE SCHOOL,30.44650,-84.18385,834,113,34,16,37,9,510,205,542,162
LEON,WILLIAM J MONTFORD III MIDDLE SCHOOL,30.53200,-84.18004,1067,102,33,22,41,12,793,302,857,257
LEVY,BRONSON MIDDLE/HIGH SCHOOL,29.46574,-82.62919,550,115,20,12,25,15,159,81,171,85
LEVY,CHIEFLAND MIDDLE HIGH SCHOOL,29.48534,-82.86203,815,117,18,10,20,7,251,155,280,117
LEVY,WILLISTON MIDDLE HIGH SCHOOL,29.37409,-82.44914,1019,183,20,16,24,11,280,166,316,134
LIBERTY,W. R. TOLAR K-8 SCHOOL,30.33858,-84.98893,495,109,24,7,25,5,200,44,174,57
MADISON,MADISON COUNTY CENTRAL SCHOOL,30.47816,-83.44549,996,217,33,11,36,14,213,81,230,60
MADISON,MADISON COUNTY HIGH SCHOOL,30.48098,-83.45408,510,72,11,6,5,8,71,51,51,32
MANATEE,BAYSHORE HIGH SCHOOL,27.44370,-82.59339,1495,215,11,14,14,8,204,201,212,115
MANATEE,BRADEN RIVER HIGH SCHOOL,27.45366,-82.48347,2036,221,22,22,24,23,531,378,388,336
MANATEE,BRADEN RIVER MIDDLE SCHOOL,27.43034,-82.43430,1075,162,19,8,31,5,518,193,622,152
MANATEE,BUFFALO CREEK MIDDLE SCHOOL,27.57564,-82.48859,1221,194,19,18,33,7,533,256,667,121
MANATEE,CARLOS E. HAILE MIDDLE SCHOOL,27.48908,-82.44679,1231,159,32,24,51,10,712,299,830,210
MANATEE,ELECTA LEE MAGNET MIDDLE SCHOOL,27.44551,-82.60142,1057,211,20,14,22,6,322,200,343,91
MANATEE,LAKEWOOD RANCH HIGH SCHOOL,27.44377,-82.43799,2439,198,24,27,31,14,781,489,565,406
MANATEE,MANATEE HIGH SCHOOL,27.49206,-82.59530,2251,311,16,23,33,24,543,319,428,365
MANATEE,MARTHA B. KING MIDDLE SCHOOL,27.50440,-82.63779,1111,207,27,12,44,7,437,181,548,117
MANATEE,PALMETTO HIGH SCHOOL,27.53032,-82.57830,2231,322,10,18,22,21,421,286,299,286
MANATEE,R. DAN NOLAN MIDDLE SCHOOL,27.42411,-82.39440,1167,114,31,26,37,6,795,371,870,240
MANATEE,SOUTHEAST HIGH SCHOOL,27.46756,-82.55108,1701,232,15,13,18,15,322,209,224,312
MANATEE,W. D. SUGG MIDDLE SCHOOL,27.46895,-82.61843,819,183,21,15,35,3,233,121,324,43
MARION,BELLEVIEW HIGH SCHOOL,29.07380,-82.09060,1600,226,14,12,25,9,376,232,299,231
MARION,BELLEVIEW MIDDLE SCHOOL,29.06890,-82.08888,1324,172,18,21,21,6,685,329,716,191
MARION,DUNNELLON HIGH SCHOOL,29.07748,-82.41503,1179,183,11,13,13,15,207,181,178,204
MARION,DUNNELLON MIDDLE SCHOOL,29.05260,-82.46687,665,77,10,10,14,0,284,122,319,77
MARION,FOREST HIGH SCHOOL,29.14174,-82.06757,2195,273,29,20,38,29,588,328,413,391
MARION,FORT KING MIDDLE SCHOOL,29.19302,-82.11439,1078,185,29,17,39,7,402,196,537,141
MARION,FORT MCCOY SCHOOL,29.38487,-81.97075,1004,172,10,6,16,9,278,74,260,105
MARION,HORIZON ACADEMY AT MARION OAKS,29.00451,-82.19013,833,117,15,6,13,7,324,107,325,132
MARION,HOWARD MIDDLE SCHOOL,29.19706,-82.15475,1060,115,11,2,7,4,566,234,586,188
MARION,LAKE WEIR HIGH SCHOOL,29.07856,-81.97776,1475,245,12,20,12,16,236,225,208,166
MARION,LAKE WEIR MIDDLE SCHOOL,28.99931,-81.98536,1128,163,22,22,33,4,379,187,436,118
MARION,LIBERTY MIDDLE SCHOOL,29.08465,-82.19883,1277,176,37,28,46,12,557,294,581,175
MARION,NORTH MARION HIGH SCHOOL,29.34006,-82.13962,1314,215,15,19,14,12,252,200,160,147
MARION,NORTH MARION MIDDLE SCHOOL,29.33249,-82.16227,811,134,12,10,22,4,306,155,343,84
MARION,OSCEOLA MIDDLE SCHOOL,29.18243,-82.13410,968,105,21,12,27,9,558,221,626,208
MARION,VANGUARD HIGH SCHOOL,29.21737,-82.13715,1637,183,12,11,12,15,362,246,202,244
MARION,WEST PORT HIGH SCHOOL,29.15352,-82.24974,2659,291,29,23,28,27,691,457,471,426
MARTIN,JENSEN BEACH HIGH SCHOOL,27.24042,-80.26683,1484,176,35,31,29,21,522,260,395,287
MARTIN,MARTIN COUNTY HIGH SCHOOL,27.17039,-80.25033,2178,292,34,57,35,23,599,379,463,405
MARTIN,SOUTH FORK HIGH SCHOOL,27.07748,-80.25465,1934,219,21,29,19,18,535,328,285,345
MONROE,CORAL SHORES HIGH SCHOOL,24.99389,-80.53686,721,102,16,9,21,13,225,131,173,149
MONROE,HORACE O'BRYANT SCHOOL,24.55761,-81.78592,1100,225,46,25,58,14,430,150,445,144
MONROE,KEY LARGO SCHOOL,25.15394,-80.38851,856,133,30,8,30,5,322,73,324,107
MONROE,KEY WEST HIGH SCHOOL,24.55484,-81.77693,1261,189,25,23,28,23,367,205,301,233
MONROE,MARATHON SCHOOL,24.70367,-81.07782,638,111,15,10,17,5,213,115,211,83
MONROE,PLANTATION KEY SCHOOL,24.99210,-80.54135,521,81,19,5,24,5,230,62,255,71
MONROE,SUGARLOAF SCHOOL,24.66086,-81.53081,613,124,25,10,30,6,240,65,250,91
NASSAU,CALLAHAN MIDDLE SCHOOL,30.56963,-81.84056,788,112,27,15,47,14,462,163,530,163
NASSAU,FERNANDINA BEACH HIGH SCHOOL,30.66247,-81.44525,964,125,27,22,14,10,335,127,202,162
NASSAU,FERNANDINA BEACH MIDDLE SCHOOL,30.66526,-81.44476,688,87,25,6,23,8,442,151,499,152
NASSAU,HILLIARD MIDDLE-SENIOR HIGH,30.68785,-81.92661,725,94,24,7,36,7,354,148,384,104
NASSAU,WEST NASSAU COUNTY HIGH SCHOOL,30.55825,-81.83081,1007,119,15,15,15,8,295,196,189,162
NASSAU,YULEE HIGH SCHOOL,30.61027,-81.58063,1307,168,25,16,28,11,387,233,365,228
NASSAU,YULEE MIDDLE SCHOOL,30.61179,-81.57627,1012,161,33,10,44,19,545,219,641,197
OKALOOSA,ADDIE R. LEWIS SCHOOL,30.49261,-86.49296,761,191,48,13,68,21,357,81,429,155
OKALOOSA,BAKER SCHOOL,30.79288,-86.68056,1496,234,50,24,61,15,502,149,517,192
OKALOOSA,C. W. RUCKEL MIDDLE SCHOOL,30.52214,-86.47505,1188,135,39,28,73,16,845,370,979,316
OKALOOSA,CHOCTAWHATCHEE SENIOR HIGH SCHOOL,30.45110,-86.61952,1638,196,37,20,34,21,466,244,321,262
OKALOOSA,CLIFFORD MEIGS MIDDLE SCHOOL,30.44706,-86.58183,561,100,26,20,44,15,325,133,383,125
OKALOOSA,CRESTVIEW HIGH SCHOOL,30.78935,-86.56064,2096,277,48,52,72,46,573,364,484,404
OKALOOSA,DAVIDSON MIDDLE SCHOOL,30.79320,-86.56234,1071,209,83,54,107,28,621,300,753,187
OKALOOSA,DESTIN MIDDLE SCHOOL,30.40107,-86.42404,760,88,29,8,43,23,501,128,575,259
OKALOOSA,FORT WALTON BEACH HIGH SCHOOL,30.41131,-86.64155,1720,202,35,34,44,18,495,319,464,319
OKALOOSA,LAUREL HILL SCHOOL,30.95841,-86.46256,380,67,8,10,19,3,108,64,163,49
OKALOOSA,MAX BRUNER JUNIOR MIDDLE SCHOOL,30.41817,-86.63423,801,172,54,22,55,21,401,165,405,148
OKALOOSA,NICEVILLE SENIOR HIGH SCHOOL,30.52006,-86.47672,2094,172,47,30,58,37,801,367,681,473
OKALOOSA,SHOAL RIVER MIDDLE SCHOOL,30.73707,-86.53786,842,131,34,27,39,13,471,235,492,154
OKALOOSA,W. C. PRYOR MIDDLE SCHOOL,30.44741,-86.62270,691,143,46,34,61,11,323,155,394,105
OKEECHOBEE,OKEECHOBEE HIGH SCHOOL,27.26747,-80.82779,1716,318,23,17,32,11,343,197,248,127
OKEECHOBEE,OSCEOLA MIDDLE SCHOOL,27.21991,-80.83876,766,168,22,17,51,7,312,149,436,113
OKEECHOBEE,YEARLING MIDDLE SCHOOL,27.26634,-80.83827,720,182,33,19,61,12,273,116,391,79
ORANGE,ACCELERATION EAST,28.51798,-81.31173,212,43,2,2,1,0,34,21,21,10
ORANGE,ACCELERATION WEST,28.58001,-81.49465,279,43,1,8,6,4,40,71,64,25
ORANGE,APOPKA HIGH,28.69124,-81.52141,3371,344,31,18,31,21,791,421,349,447
ORANGE,APOPKA MIDDLE,28.68769,-81.50857,1083,100,6,5,9,3,423,218,497,129
ORANGE,AUDUBON PARK SCHOOL,28.56608,-81.34713,796,62,22,8,24,4,414,90,436,109
ORANGE,AVALON MIDDLE,28.50006,-81.15188,1023,94,22,21,38,8,752,290,810,248
ORANGE,BLANKNER K-8,28.51471,-81.36489,974,99,11,6,19,6,466,98,493,162
ORANGE,BRIDGEWATER MIDDLE,28.47991,-81.61401,2608,169,49,28,52,12,1605,671,1642,511
ORANGE,CARVER MIDDLE,28.52613,-81.43642,832,106,14,8,20,3,233,146,285,63
ORANGE,CHAIN OF LAKES MIDDLE,28.49216,-81.50460,1302,108,19,16,17,4,518,190,502,173
ORANGE,COLLEGE PARK MIDDLE,28.58410,-81.39721,964,127,26,17,26,10,341,138,327,133
ORANGE,COLONIAL HIGH,28.55372,-81.30225,3403,445,31,39,38,27,607,391,346,444
ORANGE,CONWAY MIDDLE,28.50061,-81.32790,989,130,16,5,21,5,384,178,445,129
ORANGE,CORNER LAKE MIDDLE,28.56453,-81.12994,943,132,12,7,27,6,414,159,426,146
ORANGE,CYPRESS CREEK HIGH,28.37959,-81.38061,3369,282,26,22,26,25,726,468,311,442
ORANGE,DISCOVERY MIDDLE,28.54213,-81.19282,901,102,18,19,27,9,538,236,595,226
ORANGE,DR. PHILLIPS HIGH,28.47100,-81.47681,3878,277,27,20,21,18,944,607,403,588
ORANGE,EAST RIVER HIGH,28.55726,-81.13101,2043,278,24,23,22,23,479,261,170,328
ORANGE,EDGEWATER HIGH,28.58140,-81.39194,2017,187,19,20,20,24,451,283,198,363
ORANGE,FREEDOM HIGH,28.41605,-81.41284,3990,266,23,19,20,22,934,517,461,588
ORANGE,FREEDOM MIDDLE,28.41484,-81.41720,1255,91,12,10,16,6,457,212,522,168
ORANGE,GLENRIDGE MIDDLE,28.57781,-81.33621,1341,148,32,20,35,9,735,307,778,263
ORANGE,GOTHA MIDDLE,28.52994,-81.51129,1217,158,31,25,36,7,589,290,603,166
ORANGE,HOWARD MIDDLE,28.54527,-81.36736,1014,47,13,6,15,7,760,323,745,191
ORANGE,HUNTERS CREEK MIDDLE,28.36785,-81.43514,1341,70,11,7,29,5,739,251,896,271
ORANGE,INNOVATION MIDDLE,28.42258,-81.21071,1206,94,19,23,32,4,735,351,777,206
ORANGE,JONES HIGH,28.53319,-81.39962,1577,195,12,16,9,17,178,133,102,110
ORANGE,JUDSON B WALKER MIDDLE,28.45996,-81.37701,1000,111,10,9,18,3,307,190,340,107
ORANGE,LAKE NONA HIGH,28.38121,-81.24553,3266,230,29,14,33,22,984,431,596,620
ORANGE,LAKE NONA MIDDLE,28.36686,-81.24567,1485,109,39,19,44,14,994,345,1062,305
ORANGE,LAKEVIEW MIDDLE,28.56450,-81.60241,908,99,7,4,5,1,432,169,397,138
ORANGE,LEGACY MIDDLE,28.54574,-81.21912,924,118,16,15,23,9,448,180,416,137
ORANGE,LIBERTY MIDDLE,28.50234,-81.26851,1147,196,34,16,33,10,458,197,443,126
ORANGE,LOCKHART MIDDLE,28.62282,-81.42131,865,104,8,6,11,1,273,177,263,70
ORANGE,MAITLAND MIDDLE,28.63341,-81.34247,795,73,16,17,15,2,488,208,486,178
ORANGE,MAYNARD EVANS HIGH,28.58072,-81.44810,2515,257,16,19,19,21,322,265,258,369
ORANGE,MEADOW WOODS MIDDLE,28.37123,-81.34443,982,152,28,17,29,8,414,205,419,140
ORANGE,MEADOWBROOK MIDDLE,28.59533,-81.46334,994,107,4,6,5,1,200,147,252,81
ORANGE,MEMORIAL MIDDLE,28.51147,-81.40634,803,124,24,11,18,9,238,154,245,70
ORANGE,OAK RIDGE HIGH,28.47160,-81.38587,2610,238,18,18,25,23,378,282,286,381
ORANGE,OCOEE HIGH,28.60003,-81.55778,2576,230,17,21,14,13,483,386,255,392
ORANGE,OCOEE MIDDLE,28.56662,-81.54185,1356,109,15,12,17,7,624,331,656,211
ORANGE,OCPS ACADEMIC CENTER FOR EXCELLENCE,28.54753,-81.38914,959,121,6,3,7,0,135,36,170,33
ORANGE,ODYSSEY MIDDLE,28.47448,-81.25729,876,112,21,17,23,5,430,216,427,142
ORANGE,OLYMPIA HIGH,28.49821,-81.50620,3266,203,23,17,14,20,824,530,360,455
ORANGE,PIEDMONT LAKES MIDDLE,28.63865,-81.47806,1095,185,30,19,41,8,407,185,562,145
ORANGE,ROBINSWOOD MIDDLE,28.56038,-81.47120,1221,118,17,14,20,7,384,267,345,142
ORANGE,SOUTH CREEK MIDDLE,28.39406,-81.34151,1096,115,12,12,19,5,570,242,573,169
ORANGE,SOUTHWEST MIDDLE,28.46965,-81.49319,1446,124,29,22,37,12,731,323,737,197
ORANGE,STONEWALL JACKSON MIDDLE,28.52992,-81.30325,1009,94,6,5,9,1,402,179,359,100
ORANGE,SUNRIDGE MIDDLE,28.53778,-81.60275,1407,157,43,23,50,19,981,371,977,299
ORANGE,TIMBER CREEK HIGH,28.52702,-81.14782,3477,291,34,28,27,32,1191,467,493,709
ORANGE,TIMBER SPRINGS MIDDLE,28.53392,-81.13801,933,78,22,15,29,6,584,253,647,183
ORANGE,UNION PARK MIDDLE,28.57117,-81.24857,782,129,7,6,5,2,197,94,207,57
ORANGE,UNIVERSITY HIGH,28.57812,-81.21555,2839,338,27,33,31,28,681,492,264,412
ORANGE,WEDGEFIELD SCHOOL,28.48972,-81.07864,941,83,8,3,20,2,371,81,368,117
ORANGE,WEKIVA HIGH,28.63851,-81.47312,2174,280,20,24,22,14,398,299,203,307
ORANGE,WEST ORANGE HIGH,28.54223,-81.56701,2448,216,18,19,24,16,737,338,342,360
ORANGE,WESTRIDGE MIDDLE,28.47080,-81.42146,1249,101,5,4,11,6,326,153,378,100
ORANGE,WILLIAM R BOONE HIGH,28.51913,-81.36557,2874,274,25,33,26,31,872,486,454,556
ORANGE,WINDERMERE HIGH,28.47858,-81.57786,3356,174,16,12,10,12,1109,426,594,690
ORANGE,WINDY RIDGE K-8,28.50327,-81.49835,1179,112,39,5,35,9,525,76,551,175
ORANGE,WINTER PARK HIGH,28.58422,-81.32191,3355,273,30,33,36,26,1089,519,483,692
ORANGE,WOLF LAKE MIDDLE,28.72961,-81.54176,1370,124,10,12,16,5,675,339,689,210
OSCEOLA,CELEBRATION HIGH SCHOOL,28.29867,-81.56898,2663,239,24,16,23,19,616,382,346,420
OSCEOLA,CELEBRATION SCHOOL,28.31962,-81.54471,1531,113,26,10,38,13,744,154,800,294
OSCEOLA,DENN JOHN MIDDLE SCHOOL,28.30909,-81.37913,964,151,15,9,17,4,306,182,351,140
OSCEOLA,DISCOVERY INTERMEDIATE SCHOOL,28.16952,-81.49838,937,147,29,19,33,17,305,212,316,126
OSCEOLA,GATEWAY HIGH SCHOOL,28.29599,-81.36027,1729,208,15,21,18,28,329,252,178,326
OSCEOLA,HARMONY HIGH SCHOOL,28.18661,-81.15302,2004,211,18,20,28,29,495,310,320,315
OSCEOLA,HORIZON MIDDLE SCHOOL,28.24365,-81.46469,1336,201,46,24,50,8,573,280,623,225
OSCEOLA,KISSIMMEE MIDDLE SCHOOL,28.31730,-81.43800,1341,216,47,16,53,7,372,223,412,137
OSCEOLA,LIBERTY HIGH SCHOOL,28.16245,-81.44346,2046,293,20,7,18,9,310,183,146,215
OSCEOLA,NARCOOSSEE MIDDLE SCHOOL,28.32764,-81.23580,1295,149,39,25,46,13,750,346,777,291
OSCEOLA,NEPTUNE MIDDLE SCHOOL,28.25894,-81.33388,1330,167,36,36,42,18,628,377,663,266
OSCEOLA,OSCEOLA HIGH SCHOOL,28.28714,-81.42582,2467,298,22,11,23,20,360,323,248,261
OSCEOLA,PARKWAY MIDDLE SCHOOL,28.32733,-81.36865,961,113,15,9,18,6,378,193,336,142
OSCEOLA,POINCIANA HIGH SCHOOL,28.23447,-81.48974,2080,270,24,6,17,17,379,211,228,292
OSCEOLA,ST. CLOUD HIGH SCHOOL,28.23888,-81.28091,2192,266,19,19,25,23,439,338,356,390
OSCEOLA,ST. CLOUD MIDDLE SCHOOL,28.23711,-81.27477,1450,221,42,23,65,11,747,347,853,309
OSCEOLA,TOHOPEKALIGA,28.33498,-81.29407,2339,233,20,12,17,32,519,201,239,419
OSCEOLA,WESTSIDE K-8 SCHOOL,28.31816,-81.64718,1667,156,17,4,15,4,418,101,411,148
OSCEOLA,ZENITH ACCELERATED ACADEMY,28.28620,-81.35463,504,66,1,1,1,2,17,32,28,36
PALM BEACH,ATLANTIC HIGH SCHOOL,26.46247,-80.09775,2303,241,18,24,19,25,513,336,286,305
PALM BEACH,BAK MIDDLE SCHOOL OF THE ARTS,26.74892,-80.08363,1381,42,30,9,24,4,1302,437,1286,405
PALM BEACH,BEAR LAKES MIDDLE SCHOOL,26.73418,-80.10814,781,174,25,20,36,6,222,129,237,52
PALM BEACH,BOCA RATON COMMUNITY HIGH SCHOOL,26.36466,-80.11707,3379,365,58,36,58,34,1041,637,667,441
PALM BEACH,BOCA RATON COMMUNITY MIDDLE SCHOOL,26.35921,-80.11303,1547,254,53,49,87,13,875,400,1011,280
PALM BEACH,BOYNTON BEACH COMMUNITY HIGH,26.54117,-80.08392,1575,286,18,24,23,18,211,185,125,166
PALM BEACH,CARVER MIDDLE SCHOOL,26.45975,-80.11266,929,154,22,22,27,2,377,166,323,80
PALM BEACH,CHRISTA MCAULIFFE MIDDLE SCHOOL,26.55158,-80.14768,1453,237,84,49,91,29,1014,382,1080,348
PALM BEACH,CONGRESS COMMUNITY MIDDLE SCHOOL,26.52304,-80.09254,1264,243,38,33,46,6,408,209,397,118
PALM BEACH,CONNISTON MIDDLE SCHOOL,26.67828,-80.06175,1172,256,52,45,77,13,495,237,542,138
PALM BEACH,CRESTWOOD COMMUNITY MIDDLE,26.69865,-80.23581,786,148,33,20,50,11,388,172,461,91
PALM BEACH,DON ESTRIDGE HIGH TECH MIDDLE SCHOOL,26.38515,-80.12028,1286,115,52,28,67,19,1088,402,1163,372
PALM BEACH,EAGLES LANDING MIDDLE SCHOOL,26.38442,-80.22651,1458,205,76,40,89,22,1009,396,1071,313
PALM BEACH,EMERALD COVE MIDDLE SCHOOL,26.63498,-80.20146,1280,247,89,60,107,27,832,370,896,252
PALM BEACH,FOREST HILL COMMUNITY HIGH SCHOOL,26.65469,-80.06484,2458,356,18,39,26,29,482,305,300,286
PALM BEACH,GLADES CENTRAL HIGH SCHOOL,26.66615,-80.68436,1025,202,5,13,23,20,102,149,106,105
PALM BEACH,HOWELL L. WATKINS MIDDLE SCHOOL,26.81463,-80.08594,912,208,38,20,40,12,309,145,314,92
PALM BEACH,INDEPENDENCE MIDDLE SCHOOL,26.89839,-80.12169,1378,153,43,29,68,19,958,344,1086,356
PALM BEACH,JEAGA MIDDLE SCHOOL,26.73331,-80.13831,932,198,32,36,34,8,288,194,287,84
PALM BEACH,JOHN F. KENNEDY MIDDLE SCHOOL,26.77959,-80.08204,788,142,10,13,10,0,175,148,187,23
PALM BEACH,JOHN I. LEONARD HIGH SCHOOL,26.63227,-80.11823,3518,440,27,46,40,32,575,494,470,478
PALM BEACH,JUPITER HIGH SCHOOL,26.92862,-80.10437,3139,366,62,48,78,45,1083,572,759,611
PALM BEACH,JUPITER MIDDLE SCHOOL,26.90316,-80.10441,1435,219,54,50,98,24,890,374,1006,326
PALM BEACH,L C SWAIN MIDDLE SCHOOL,26.61673,-80.12797,1394,253,48,27,52,15,508,241,602,145
PALM BEACH,LAKE SHORE MIDDLE SCHOOL,26.69023,-80.67283,685,154,20,16,28,11,209,119,227,72
PALM BEACH,LAKE WORTH COMMUNITY MIDDLE,26.63238,-80.07045,1163,231,19,26,29,4,339,194,371,92
PALM BEACH,LAKE WORTH HIGH SCHOOL,26.61504,-80.06638,2413,389,34,27,32,36,328,226,240,275
PALM BEACH,LANTANA MIDDLE SCHOOL,26.58091,-80.06375,906,244,65,44,65,27,387,204,386,123
PALM BEACH,LOGGERS' RUN COMMUNITY MIDDLE SCHOOL,26.34734,-80.22958,1206,171,72,50,83,15,844,344,897,265
PALM BEACH,OKEEHEELEE MIDDLE SCHOOL,26.64818,-80.15530,1471,215,43,28,50,13,637,310,712,145
PALM BEACH,OLYMPIC HEIGHTS COMMUNITY HIGH,26.37727,-80.18904,2174,290,52,39,47,28,644,423,498,385
PALM BEACH,OMNI MIDDLE SCHOOL,26.39976,-80.14755,1473,169,58,32,83,16,994,382,1111,285
PALM BEACH,OSCEOLA CREEK MIDDLE SCHOOL,26.77700,-80.32883,742,123,32,29,43,10,472,227,545,186
PALM BEACH,PAHOKEE MIDDLE-SENIOR HIGH,26.82533,-80.65494,875,202,33,27,26,19,211,119,153,85
PALM BEACH,PALM BEACH CENTRAL HIGH SCHOOL,26.65265,-80.17862,3065,367,44,46,55,56,888,529,591,658
PALM BEACH,PALM BEACH GARDENS HIGH SCHOOL,26.82509,-80.10115,2736,465,43,33,32,34,517,330,287,325
PALM BEACH,PALM BEACH LAKES HIGH SCHOOL,26.75572,-80.10663,2399,412,26,30,25,17,292,257,201,165
PALM BEACH,PALM SPRINGS MIDDLE SCHOOL,26.65343,-80.10318,1586,251,43,38,58,19,697,349,747,240
PALM BEACH,PARK VISTA COMMUNITY HIGH SCHOOL,26.55958,-80.14469,3093,403,52,34,60,36,1053,530,697,627
PALM BEACH,POLO PARK MIDDLE SCHOOL,26.62388,-80.23470,1070,152,56,31,72,15,738,286,791,174
PALM BEACH,ROOSEVELT MIDDLE SCHOOL,26.73040,-80.06538,1074,178,27,19,48,4,452,208,554,104
PALM BEACH,ROYAL PALM BEACH HIGH SCHOOL,26.70737,-80.21007,2308,382,20,16,26,19,490,288,326,269
PALM BEACH,SANTALUCES COMMUNITY HIGH,26.57419,-80.10250,2545,358,28,42,28,22,542,393,409,365
PALM BEACH,SEMINOLE RIDGE COMMUNITY HIGH SCHOOL,26.74605,-80.31008,2192,358,40,28,67,54,574,359,451,432
PALM BEACH,SPANISH RIVER COMMUNITY HIGH SCHOOL,26.39825,-80.14455,2481,230,42,33,36,34,841,489,538,465
PALM BEACH,SUNCOAST COMMUNITY HIGH SCHOOL,26.77832,-80.08173,1591,39,15,10,5,6,702,380,185,371
PALM BEACH,TRADEWINDS MIDDLE SCHOOL,26.60229,-80.12027,1066,183,21,25,36,3,414,202,475,125
PALM BEACH,VILLAGE ACADEMY ON THE ART & SARA JO KOBACKER CAMPUS,26.45340,-80.08629,700,135,2,2,13,2,131,44,120,37
PALM BEACH,WATSON B. DUNCAN MIDDLE SCHOOL,26.84767,-80.11557,1317,298,81,55,88,25,818,326,856,280
PALM BEACH,WELLINGTON HIGH SCHOOL,26.65026,-80.26615,2584,312,62,33,92,40,860,462,594,521
PALM BEACH,WELLINGTON LANDINGS MIDDLE,26.66551,-80.28656,1334,205,85,53,102,24,999,437,1062,346
PALM BEACH,WEST BOCA RATON HIGH SCHOOL,26.36190,-80.24773,2217,205,46,44,40,27,823,719,581,446
PALM BEACH,WESTERN PINES COMMUNITY MIDDLE,26.76477,-80.26291,1147,191,52,47,87,16,778,349,871,254
PALM BEACH,WILLIAM T. DWYER HIGH SCHOOL,26.87707,-80.10631,2317,358,43,12,24,18,595,359,362,319
PALM BEACH,WOODLANDS MIDDLE SCHOOL,26.60118,-80.18875,1348,199,41,28,55,14,791,346,884,246
PASCO,ANCLOTE HIGH SCHOOL,28.18139,-82.77519,1184,165,8,16,9,9,233,165,215,226
PASCO,BAYONET POINT MIDDLE SCHOOL,28.31947,-82.66855,822,151,30,9,32,10,308,116,352,101
PASCO,CENTENNIAL MIDDLE SCHOOL,28.30519,-82.17850,688,169,17,19,25,6,260,140,274,80
PASCO,CHARLES S. RUSHE MIDDLE SCHOOL,28.20463,-82.50613,1223,180,52,32,56,13,810,344,893,267
PASCO,CHASCO MIDDLE SCHOOL,28.28033,-82.68912,693,126,21,18,26,8,251,157,283,84
PASCO,CREWS LAKE MIDDLE SCHOOL.,28.39919,-82.55121,757,134,26,7,36,9,342,137,430,104
PASCO,CYPRESS CREEK MIDDLE/HIGH SCHOOL,28.28245,-82.33918,2049,210,27,35,43,16,843,484,870,407
PASCO,DR. JOHN LONG MIDDLE SCHOOL,28.18718,-82.31797,1544,191,55,28,85,10,1051,431,1206,341
PASCO,FIVAY HIGH SCHOOL,28.33417,-82.65977,1763,260,16,7,15,12,231,148,206,146
PASCO,GULF HIGH SCHOOL,28.23451,-82.71716,1561,315,25,16,23,13,254,130,194,168
PASCO,GULF MIDDLE SCHOOL,28.24429,-82.70833,958,226,54,17,69,22,344,139,432,115
PASCO,HUDSON HIGH SCHOOL,28.36686,-82.64369,1148,234,34,19,19,10,243,153,181,144
PASCO,HUDSON MIDDLE SCHOOL,28.36456,-82.64519,674,126,32,12,37,17,223,144,260,92
PASCO,JAMES W. MITCHELL HIGH SCHOOL,28.19273,-82.66904,2068,220,28,15,25,23,663,288,505,401
PASCO,LAND O' LAKES HIGH SCHOOL,28.26106,-82.47899,1840,158,22,15,23,11,604,178,427,322
PASCO,PASCO HIGH SCHOOL,28.35235,-82.20535,1746,246,11,18,20,10,379,217,281,230
PASCO,PASCO MIDDLE SCHOOL,28.36073,-82.19679,859,138,25,10,26,8,368,177,412,204
PASCO,PAUL R. SMITH MIDDLE SCHOOL,28.17894,-82.77184,997,188,14,15,25,7,378,205,376,119
PASCO,PINE VIEW MIDDLE SCHOOL,28.23469,-82.42762,1050,148,40,34,45,11,599,282,624,179
PASCO,RAYMOND B. STEWART MIDDLE SCHOOL,28.24008,-82.18061,989,197,27,16,34,9,364,184,414,114
PASCO,RIVER RIDGE HIGH SCHOOL,28.26818,-82.62216,1647,199,17,16,12,13,433,262,373,312
PASCO,RIVER RIDGE MIDDLE SCHOOL,28.26818,-82.62216,1181,207,32,30,57,7,595,269,761,192
PASCO,SEVEN SPRINGS MIDDLE SCHOOL,28.19522,-82.67109,1574,193,54,37,91,12,1085,470,1221,341
PASCO,SUNLAKE HIGH SCHOOL,28.20092,-82.50810,2010,184,23,20,28,21,621,281,476,376
PASCO,THOMAS E. WEIGHTMAN MIDDLE SCHOOL,28.25569,-82.30685,1056,136,34,28,39,11,642,293,666,224
PASCO,WENDELL KRINN TECHNICAL HIGH SCHOOL,28.27122,-82.68881,538,112,4,8,3,5,140,76,110,103
